Date,Close/Last,Volume,Open,High,Low
01/27/2022,$80.87,10016824,$80.915,$84.0716,$80.7133
01/26/2022,$79.3733,11527649,$80.6666,$83.465,$78.8333
01/25/2022,$79.245,11380583,$83.1733,$83.2866,$79.19
01/24/2022,$84.035,17555473,$79.0866,$84.8783,$75.96
01/21/2022,$80.605,15534888,$85.9416,$86.3016,$80.4266
01/20/2022,$86.6116,10086436,$86.8016,$89.48,$86.5133
01/19/2022,$86.6016,12321131,$84.0616,$87.8987,$83.7683
01/18/2022,$83.7283,9924808,$81.6033,$86.6666,$81.5766
01/14/2022,$83.185,8197047,$81.925,$83.53,$81.0666
01/13/2022,$83.10,9814684,$88.67,$89.013,$82.67
01/12/2022,$88.67,6080168,$88.1016,$89.6333,$86.38
01/11/2022,$87.675,7239351,$85.7866,$88.2833,$85.3066
01/10/2022,$87.1016,14975694,$85.6323,$87.4295,$82.00
01/07/2022,$87.5816,13586411,$87.8098,$91.3666,$87.3833
01/06/2022,$88.8183,16553443,$83.50,$90.1666,$82.835
01/05/2022,$84.1433,7493859,$85.5421,$86.7483,$83.61
01/04/2022,$87.3333,9586060,$89.575,$90.7216,$85.5566
01/03/2022,$90.7016,7803921,$93.0733,$93.3991,$89.64
12/31/2021,$92.7933,2846131,$93.57,$94.1537,$92.7033
12/30/2021,$93.57,3285607,$93.9333,$94.3333,$93.1449
12/29/2021,$93.9333,3146599,$94.03,$94.2066,$92.2416
12/28/2021,$94.1183,3755642,$95.05,$95.3608,$93.4183
12/27/2021,$94.7233,4949144,$93.7916,$95.445,$93.465
12/23/2021,$93.63,6185522,$92.48,$94.4733,$92.3333
12/22/2021,$92.46,8374563,$88.43,$92.5233,$88.43
12/21/2021,$89.605,6857079,$88.8283,$89.64,$86.2666
12/20/2021,$88.265,5348156,$86.6733,$88.75,$86.4166
12/17/2021,$88.3566,35245142,$85.5483,$88.83,$84.8416
12/16/2021,$87.285,7360869,$90.025,$90.4915,$87.1666
12/15/2021,$90.0483,9417118,$85.785,$90.1666,$85.4166
12/14/2021,$85.4166,9263026,$87.15,$88.405,$84.275
12/13/2021,$89.1533,6895185,$89.9866,$90.3316,$88.3782
12/10/2021,$88.6416,7306143,$87.7516,$89.8591,$87.2687
12/09/2021,$87.9216,7081509,$88.5183,$89.6475,$87.595
12/08/2021,$88.4383,4437740,$87.00,$88.9066,$86.46
12/07/2021,$87.2383,8538675,$86.22,$88.76,$85.73
12/06/2021,$83.5366,12422861,$86.2775,$86.5333,$83.0383
12/03/2021,$86.81,11460749,$89.2866,$90.5516,$86.42
12/02/2021,$89.2166,9516232,$88.0266,$91.1716,$87.8333
12/01/2021,$88.0266,10773550,$91.585,$92.50,$88.0016
11/30/2021,$91.1566,8941660,$92.00,$92.9983,$90.5183
11/29/2021,$91.8633,6526299,$90.0283,$92.24,$89.3166
11/26/2021,$88.8733,4044200,$90.2266,$91.8916,$88.4375
11/24/2021,$91.62,7491345,$88.805,$91.9883,$87.6047
11/23/2021,$88.8366,10167364,$88.2866,$90.92,$86.60
11/22/2021,$89.9933,17521669,$87.8275,$93.2566,$86.8333
11/19/2021,$88.39,22995693,$89.5333,$90.9816,$85.00
11/18/2021,$86.665,14548710,$85.2566,$87.0983,$83.9183
11/17/2021,$85.6266,7539759,$87.74,$88.5775,$84.6666
11/16/2021,$87.5233,7368561,$86.6666,$87.995,$86.0316
11/15/2021,$86.3433,5683076,$86.6666,$86.9466,$85.3416
11/12/2021,$85.8633,5287826,$85.585,$86.3283,$84.5216
11/11/2021,$84.6466,4417046,$83.9483,$84.9883,$83.8566
11/10/2021,$83.1983,6415671,$84.8333,$85.1941,$82.04
11/09/2021,$85.3866,6714945,$86.4016,$87.2866,$84.735
11/08/2021,$86.2166,8646447,$83.3333,$86.5683,$83.1583
11/05/2021,$82.2966,6501561,$82.2008,$83.275,$81.7533
11/04/2021,$82.305,9615640,$83.65,$84.5608,$80.8766
11/03/2021,$83.16,6096902,$84.745,$84.9283,$82.17
11/02/2021,$84.7433,4109792,$84.8333,$85.4533,$83.8333
11/01/2021,$84.7183,4322492,$85.085,$85.51,$83.8808
10/29/2021,$84.8483,4255862,$83.11,$85.0416,$82.9804
10/28/2021,$83.065,4353140,$82.175,$83.325,$82.085
10/27/2021,$82.1433,4932494,$81.6783,$83.35,$81.425
10/26/2021,$81.0916,14008890,$83.29,$83.601,$79.86
10/25/2021,$82.9616,7002699,$84.58,$85.3833,$82.5216
10/22/2021,$84.0216,6610641,$84.50,$85.645,$83.1983
10/21/2021,$84.6666,10770328,$85.1266,$85.1266,$83.0533
10/20/2021,$85.32,4915142,$85.8966,$86.575,$84.4183
10/19/2021,$85.415,4963652,$86.0083,$86.16,$84.5516
10/18/2021,$85.8616,5369228,$85.00,$85.9766,$84.6416
10/15/2021,$84.6416,6983139,$83.90,$85.49,$83.90
10/14/2021,$83.83,5563718,$84.535,$85.6849,$83.68
10/13/2021,$84.0816,4851158,$84.2016,$84.8975,$83.585
10/12/2021,$84.2066,7261065,$83.8333,$85.00,$83.5473
10/11/2021,$83.3016,4372664,$82.0183,$83.6009,$81.35
10/08/2021,$82.1316,4676024,$82.3333,$83.4266,$81.7733
10/07/2021,$82.28,7691961,$81.27,$83.7033,$81.2366
10/06/2021,$81.0216,5525540,$78.8783,$81.3316,$78.8216
10/05/2021,$79.265,5410718,$78.7466,$79.8366,$78.52
10/04/2021,$78.2566,7993329,$80.81,$80.81,$77.1883
10/01/2021,$81.085,5683976,$80.0883,$81.1966,$79.1216
09/30/2021,$79.8333,4669826,$78.8183,$80.055,$78.75
09/29/2021,$78.845,4609640,$79.6683,$80.0833,$78.09
09/28/2021,$79.3916,7769949,$80.015,$80.20,$78.5233
09/27/2021,$81.0066,8248605,$80.93,$81.4283,$80.35
09/24/2021,$81.745,12080285,$80.0266,$81.8316,$80.0216
09/23/2021,$80.525,6594579,$79.68,$80.9616,$79.4014
09/22/2021,$79.3283,6875163,$79.2433,$79.7683,$78.3383
09/21/2021,$78.8383,5623832,$79.3333,$79.6308,$78.7516
09/20/2021,$79.065,6871299,$78.2683,$79.555,$78.0483
09/17/2021,$79.395,10080466,$80.8333,$80.9916,$79.1916
09/16/2021,$80.8133,5806658,$80.065,$80.8333,$79.4791
09/15/2021,$79.99,7688337,$80.7583,$80.9983,$79.0266
09/14/2021,$80.805,14788668,$81.3183,$82.6533,$80.2583
09/13/2021,$79.3533,15030096,$78.6683,$80.9583,$76.4316
09/10/2021,$78.3166,8566263,$79.1933,$79.8333,$77.535
09/09/2021,$77.75,5544386,$77.6183,$78.2216,$77.29
09/08/2021,$77.6216,6315627,$76.9216,$77.965,$76.4166
09/07/2021,$77.1066,5643812,$78.3333,$78.3416,$76.8866
09/03/2021,$78.0366,5676218,$76.50,$78.0733,$76.4267
09/02/2021,$77.0916,6735279,$76.8833,$77.9133,$76.6441
09/01/2021,$76.7166,8015529,$76.16,$77.0516,$75.9666
08/31/2021,$76.84,7593135,$77.195,$77.2566,$75.80
08/30/2021,$76.4683,7529493,$77.1666,$77.4831,$76.095
08/27/2021,$76.88,8188329,$76.615,$77.2383,$76.0216
08/26/2021,$76.24,17068939,$74.6666,$76.6216,$74.5083
08/25/2021,$74.5083,21706179,$73.3333,$74.9633,$72.5833
08/24/2021,$73.645,66796107,$70.6083,$74.4849,$69.90
08/23/2021,$62.095,17323333,$61.4516,$62.355,$61.2016
08/20/2021,$61.2433,7220637,$60.6266,$61.5033,$60.4966
08/19/2021,$60.4833,7371441,$59.9466,$60.9116,$59.7277
08/18/2021,$60.3933,5522858,$61.00,$61.33,$60.1233
08/17/2021,$60.9616,4420658,$61.5516,$61.7033,$60.4467
08/16/2021,$61.72,4592198,$62.0833,$62.7666,$61.5166
08/13/2021,$62.34,6535311,$61.8166,$62.70,$61.6667
08/12/2021,$61.50,6524751,$60.93,$62.285,$60.93
08/11/2021,$60.9133,12458633,$62.5983,$62.7833,$60.8241
08/10/2021,$62.8333,7237767,$64.9916,$65.1366,$62.8283
08/09/2021,$64.7466,3585433,$64.7183,$65.3758,$64.4733
08/06/2021,$64.3933,8620743,$66.1166,$66.2766,$64.00
08/05/2021,$67.2733,3381859,$67.475,$67.82,$66.8533
08/04/2021,$67.2216,3050005,$66.565,$67.4983,$66.4058
08/03/2021,$66.3883,3392263,$66.755,$67.4246,$66.0416
08/02/2021,$66.72,2772199,$66.6666,$67.3333,$65.715
07/30/2021,$66.5083,4379324,$66.50,$67.0716,$66.2517
07/29/2021,$66.50,3296881,$66.4833,$67.5266,$66.3583
07/28/2021,$66.5766,2911501,$66.3416,$67.00,$65.8233
07/27/2021,$66.2516,3318385,$66.6666,$66.83,$65.045
07/26/2021,$66.4983,3081169,$66.3283,$66.8533,$65.6083
07/23/2021,$66.9366,4001426,$66.325,$67.3416,$66.0133
07/22/2021,$66.3933,5304032,$65.64,$66.6466,$65.1683
07/21/2021,$65.3033,6530961,$66.6966,$66.8316,$64.8616
07/20/2021,$66.8316,7316919,$65.3383,$67.02,$65.1016
07/19/2021,$64.9066,5548634,$63.9816,$65.0783,$63.6666
07/16/2021,$64.7166,5623682,$64.77,$65.4792,$64.5941
07/15/2021,$64.64,6755853,$64.44,$65.0345,$63.8366
07/14/2021,$64.3833,4090046,$65.285,$65.325,$64.3033
07/13/2021,$64.6666,5396258,$64.8333,$65.56,$64.51
07/12/2021,$64.755,5293748,$65.25,$65.7783,$64.6666
07/09/2021,$65.04,4877390,$64.2633,$65.6916,$63.9883
07/08/2021,$64.4183,5632982,$63.355,$64.7233,$62.9554
07/07/2021,$64.4983,7186353,$65.3166,$65.5883,$63.8683
07/06/2021,$65.3166,11936231,$62.9683,$65.5716,$62.9466
07/02/2021,$62.1366,3690985,$62.2333,$62.6179,$61.8883
07/01/2021,$61.7816,4442168,$61.6666,$62.115,$61.0483
06/30/2021,$61.8416,6349749,$62.2516,$62.4133,$61.70
06/29/2021,$62.6116,2887717,$63.1666,$63.4608,$62.2116
06/28/2021,$63.0783,6169310,$63.2583,$64.4533,$62.9283
06/25/2021,$62.595,11879321,$62.4416,$63.0633,$61.9833
06/24/2021,$62.10,3609283,$61.8466,$62.615,$61.675
06/23/2021,$61.3983,3542221,$60.9566,$61.75,$60.9283
06/22/2021,$60.90,5630498,$61.6666,$62.1283,$60.4666
06/21/2021,$61.8233,3745603,$61.7216,$61.9766,$60.7183
06/18/2021,$61.9516,8630685,$62.30,$63.215,$61.5833
06/17/2021,$62.0116,8026755,$60.48,$62.315,$60.045
06/16/2021,$60.5833,4773968,$60.6916,$61.0433,$59.9916
06/15/2021,$60.14,3421723,$61.1666,$61.1666,$59.9216
