Date,Close/Last,Volume,Open,High,Low
05/03/2022,$46.52,37363430,$45.175,$47.535,$44.945
05/02/2022,$45.298,33719410,$42.115,$45.414,$42.115
04/29/2022,$42.682,39768930,$42.20,$46.338,$42.149
04/28/2022,$44.328,41856340,$42.881,$45.213,$41.117
04/27/2022,$41.62,31912830,$42.399,$43.997,$41.332
04/26/2022,$42.809,37411580,$45.506,$45.853,$42.80
04/25/2022,$45.921,40069420,$46.198,$47.585,$45.339
04/22/2022,$45.997,44860390,$48.00,$49.271,$45.403
04/21/2022,$48.10,59355120,$53.501,$53.7745,$47.2574
04/20/2022,$52.50,51186510,$59.298,$59.40,$52.50
04/19/2022,$60.563,21424940,$57.75,$61.40,$57.60
04/18/2022,$58.10,23198620,$57.50,$58.6891,$55.60
04/14/2022,$57.951,22825060,$60.241,$60.70,$57.901
04/13/2022,$60.478,28846660,$59.097,$62.20,$57.895
04/12/2022,$59.106,36801420,$62.756,$64.437,$59.024
04/11/2022,$61.738,39027480,$61.451,$62.898,$59.368
04/08/2022,$60.318,41832510,$63.93,$64.173,$60.006
04/07/2022,$64.397,29001460,$65.60,$66.905,$62.045
04/06/2022,$65.658,33372200,$68.463,$68.544,$63.844
04/05/2022,$70.292,23784340,$72.90,$74.134,$69.201
04/04/2022,$72.729,19721340,$69.639,$73.089,$69.20
04/01/2022,$69.30,29412070,$68.756,$71.6877,$67.851
03/31/2022,$67.596,22227220,$70.851,$70.864,$67.523
03/30/2022,$70.56,31928700,$72.572,$73.78,$69.20
03/29/2022,$74.398,29474870,$71.683,$75.878,$70.244
03/28/2022,$70.16,24524120,$68.497,$71.66,$67.066
03/25/2022,$67.953,22350350,$70.50,$70.685,$66.60
03/24/2022,$70.50,24118880,$71.032,$71.181,$68.0372
03/23/2022,$70.359,33973140,$71.50,$73.949,$69.50
03/22/2022,$72.701,44498330,$68.917,$73.378,$67.095
03/21/2022,$68.345,66699310,$69.90,$71.305,$65.303
03/18/2022,$78.00,46308710,$64.988,$78.00,$64.73
03/17/2022,$65.738,30355970,$61.222,$65.778,$60.461
03/16/2022,$62.238,31596120,$57.458,$62.386,$56.70
03/15/2022,$55.343,26553900,$51.858,$56.30,$51.365
03/14/2022,$51.255,24948620,$54.141,$55.3225,$51.002
03/11/2022,$54.437,27360630,$56.898,$58.054,$54.224
03/10/2022,$55.318,29826020,$56.72,$57.198,$54.525
03/09/2022,$58.765,39835540,$54.499,$59.49,$53.407
03/08/2022,$51.495,52423380,$55.256,$55.499,$51.12
03/07/2022,$56.08,27626100,$59.90,$60.607,$55.7367
03/04/2022,$60.084,28173910,$64.098,$65.094,$59.151
03/03/2022,$64.075,15529850,$66.491,$66.626,$63.22
