ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001375836-20-000003	32461	0001353316	028-11815			Hound Partners, LLC
0001167376-20-000012	24264	0001167376	028-10108			Scepter Holdings, Inc.
0001012975-20-000691	20434	0001319998	028-11745			Southpoint Capital Advisors LP
0001363829-20-000152	25041					Cavello Bay Reinsurance LTD
0001104659-20-095576	15758	0001423994	028-12856			Ridgeback Capital Investments L.P.
0001172661-20-001843	21002	0001642575	028-16923			Squarepoint Ops LLC
0001012975-20-000690	14616	0001319998	028-11745			Southpoint Capital Advisors LP
0000950123-20-009121	25946					Deer VIII & Co. Ltd.
0000902664-20-003073	28220	0001484836	028-13856			Centerbridge Partners, L.P.
0000921895-20-002259	25429	0001334429	028-15403			BIGLARI CAPITAL CORP.
0001567619-20-015486	19999	0001250731	028-17941			CHAI TRUST CO LLC
0001012975-20-000689	20931	0001319998	028-11745			Southpoint Capital Advisors LP
0001567619-20-015484	14248	0001250731	028-17941			CHAI TRUST CO LLC
0000950123-20-009112	91056		28-17342			Aviva Holdings Ltd.
0000950123-20-009113	18865		028-19201			VK Services, LLC
0000902664-20-003071	105578	0001484836	028-13856			Centerbridge Partners, L.P.
0001567619-20-015481	15353	0001250731	028-17941			CHAI TRUST CO LLC
0001172661-20-001834	29143	0001352924	028-15101			Caledonia (Private) Investments Pty Ltd
0001012975-20-000688	64838	0001319998	028-11745			Southpoint Capital Advisors LP
0000902664-20-003070	23327	0001484836	028-13856			Centerbridge Partners, L.P.
0000950123-20-009109	16587		028-17342			Aviva Holdings Ltd.
0001567619-20-015479	32497	0001250731	028-17941			CHAI TRUST CO LLC
0001104659-20-095556	30002	0001568891	028-15776			Covey Capital Advisors, LLC
0001104659-20-095556	29998	0000813917	028-02013			HARRIS ASSOCIATES L P
0001104659-20-095556	29999	0001387615	028-12068			Aull & Monroe Investment Management Corp
0001104659-20-095556	30000	0000276101	028-00030			BRISTOL JOHN W & CO INC /NY/
0001104659-20-095556	30001	0000807985	028-01399			SOUTHEASTERN ASSET MANAGEMENT INC/TN/
0001104659-20-095556	29996	0001328062	028-11408			Cornerstone Investment Partners, LLC
0001104659-20-095556	29995	0001126116	028-05395			SELECT EQUITY GROUP INC
0001104659-20-095556	29997	0001308523	028-12146			CARL DOMINO INC
0000902664-20-003069	11844	0001484836	028-13856			Centerbridge Partners, L.P.
0001172661-20-001829	24390	0001312908	028-11102			Gates Capital Management, Inc.
0001628280-20-012720	30866					028-00491 Metropolitan Life Insurance Co/NY
0001628280-20-012720	30868					028-16107 Provida Pension Fund Adminstrator
0001628280-20-012720	30867					028-18628 MetLife Investment Management, LLC
0001567619-20-015472	31193	0000070858	028-00158			BANK OF AMERICA CORP /DE/
0000902664-20-003068	26255	0001484836	028-13856			Centerbridge Partners, L.P.
0000936753-20-000074	29626	0000073124	028-00290			NORTHERN TRUST CORP
0001171843-20-005950	27172	0000310051	028-01071			KING LUTHER CAPITAL MANAGEMENT CORP
0000902664-20-003066	28984	0001484836	028-13856			Centerbridge Partners, L.P.
0001567619-20-015462	20690	0001127799	028-17038			Zurich Insurance Group Ltd/FI
0001567619-20-015461	24410	0001697162				Chescapmanager LLC
0001104659-20-095526	24743	0001009207	028-05396			D. E. Shaw & Co., Inc.
0001171843-20-005949	15475	0001674486	028-17448			Simmons Bank
0001171843-20-005949	15474	0000310051	028-01071			KING LUTHER CAPITAL MANAGEMENT CORP
0001567619-20-015459	58389	0000873687	028-17059			NORTHWESTERN UNIVERSITY
0001104659-20-095522	15850	0001125816	028-06487			FIRST TRUST ADVISORS LP
0001730719-20-000001	11838	0001821079	028-20326			Aimia AM Holdings Inc.
0001730719-20-000001	11837	0001456827	028-15019			MITTLEMAN INVESTMENT MANAGEMENT, LLC
0000950123-20-009093	88478		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009098	61216		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009092	103697		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009097	89697		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009100	13142		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009095	18841		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009091	74325		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009099	29537		028-12791			Silver Lake Group, L.L.C.
0000950123-20-009096	72239		028-12791			Silver Lake Group, L.L.C.
0000355429-20-000011	31380					ProEquities
0000950123-20-009090	30290		028-14321			Coliseum Capital Management, LLC
0001622346-20-000009	20514	0001622346	028-16701			SHANDA ASSET MANAGEMENT HOLDINGS Ltd
