ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001085146-25-001696	0	122	585549497	N
0001879202-25-000012	0	13	77435131	
0001858353-25-000002	0	13	280736995	N
0001085146-25-001695	0	0	0	N
0001085146-25-001694	5	3277	38002464469	N
0000899140-25-000324	0	3	211837381	
0001912699-25-000003	0	2	664618	N
0001085146-25-001693	0	0	0	N
0000905148-25-000656	0	7	284198189	
0001085146-25-001692	0	0	0	N
0001420506-25-000616	0	52	2504401543	N
0001085146-25-001691	0	0	0	N
0000905148-25-000655	0	6	148623560	
0001879202-25-000011	0	19	1331019806	
0001345471-25-000009	3	11	3880505606	N
0001085146-25-001690	0	0	0	N
0000905148-25-000654	0	3	42010138	
0000905148-25-000653	0	53	306279475	
0001085146-25-001689	0	20	690559300	N
0001893893-25-000001	0	330	470276112	N
0000905148-25-000652	0	7	170706284	
0000905148-25-000651	0	23	102661351	
0001580642-25-001029	0	75	232151603	
0001085146-25-001688	0	12	778876885	N
0001892688-25-000093	0	43	2101911732	N
0001104659-25-014169	0	83	1613565785	
0000104889-25-000016	0	5	852434	N
0001807270-25-000001	0	372	57552614	N
0001768757-25-000003	0	45	4566902958	N
0001879202-25-000010	0	51	172290374	
0001085146-25-001687	0	31	419052435	N
0000919574-25-001527	2	2	644644232	
0001340807-25-000002	0	11	1110945666	N
0000905148-25-000649	0	23	5409164895	
0001085146-25-001686	0	45	219273772	N
0001172661-25-001172	1	3	1678322648	
0001398344-25-002924	0	203	626654832	
0001879202-25-000009	1	18	454510303	
0001839882-25-009252	0	1	12224	
0000950123-25-002798	0	2	16096732	N
0000899140-25-000322	1	236	12263802282	
0001172661-25-001171	0	34	1518469866	
0000905148-25-000646	0	1	0	Y
0002056315-25-000005	0	162	266293450	N
0001839882-25-009250	0	1	21443	
0000947871-25-000159	0	225	5557222401	
0001398344-25-002922	1	1611	9549225695	
0001879202-25-000008	0	43	187720832	
0001892688-25-000092	0	34	2866017413	N
0000905148-25-000645	0	36	3955088048	
0001904574-25-000001	0	3	191131899	N
0001493152-25-006884	0	291	7125486240	
0001104659-25-014155	0	23	150091932	
0001012975-25-000095	0	4	16732943	N
0001418812-25-000004	1	12	4389194544	N
0001799456-25-000003	0	26	393810180	N
0000902664-25-001057	1	28	181139196	
0001104659-25-014154	0	62	1434861498	
0001839882-25-009249	0	1	7511	
0001085146-25-001685	0	49	96212643	N
0002018166-25-000002	0	128	165940171	N
0001085146-25-001684	0	0	0	N
0001013594-25-000299	0	10	653581633	
0001085146-25-001683	0	1	1054166	N
0001085146-25-001682	0	0	0	N
0000905148-25-000643	1	23	888180438	
0000902664-25-001056	1	379	1638924186	
0001461945-25-000001	0	17	169714744	N
0001085146-25-001681	0	0	0	N
0001273087-25-000017	1	432	15442078773	N
0001315863-25-000183	0	3	118001154	N
0001104659-25-014147	0	6	4727513592	
0001085146-25-001680	0	1	1756944	N
0001085146-25-001679	3	5071	22627076145	N
0000872573-25-000004	0	477	3175966262	N
0001839882-25-009248	0	31	6197790740	
0000950123-25-002793	0	6	124399834	N
0000950123-25-002794	0	47	704362373	N
0001085146-25-001678	0	188	600933722	N
0000902664-25-001055	1	126	1730525369	
0001085146-25-001677	0	1	64914	N
0000905148-25-000642	0	6	1225760139	
0001879202-25-000007	0	16	626545869	
0002040393-25-000001	0	37	317658815	N
0001839435-25-000002	0	33	607700826	N
0001062993-25-002525	0	148	540590671	N
0002053348-25-000002	0	143	458716432	
0001085146-25-001676	0	177	346873267	N
0001104659-25-014141	0	11	357581855	
0001172661-25-001167	0	148	240853299	
0000902664-25-001054	0	1	0	
0001839882-25-009247	0	361	3027386907	
0000899140-25-000321	0	8	322862731	
0001085146-25-001675	0	1	86808	N
0001446114-25-000009	3	2407	4482539563	
0000902664-25-001053	1	1474	2721486009	
0001306923-25-000010	0	43	645377517	N
0001104659-25-014134	0	3	183225434	Y
0001420506-25-000614	0	647	817186943	N
0000894309-25-000002	0	166	179254560	N
0001920938-25-000002	0	73	3862183431	N
0001493152-25-006880	1	11	2720448779	
0001085146-25-001674	0	3	1683986	N
0001013594-25-000295	0	18	208958079	
0001172661-25-001165	2	74	1944130830	
0000905148-25-000639	2	14	1927913666	
0001104659-25-014131	0	69	7792120768	
0000902664-25-001052	1	843	378612660	
0001050471-25-000002	1	3807	68360364	N
0000040417-25-000021	0	64	1440474907	N
0001879202-25-000006	0	31	1510175599	
0001080171-25-000007	0	381	3047558283	N
0001104659-25-014129	0	9	142255351	
0001085146-25-001673	0	4	571668	N
0001013594-25-000294	2	45	16675826932	Y
0001576704-25-000005	0	344	95811965	N
0001667731-25-000278	0	79	239706179	
0001172661-25-001163	0	26	770076564	
0000902664-25-001051	1	2907	15969965452	
0001802533-25-000003	0	241	5313202	N
0001854440-25-000002	0	14	2676160001	N
0001632118-25-000002	0	34	205472708	N
0001104659-25-014123	0	24	42015876027	
0002056556-25-000001	0	373	242681942	N
0001415889-25-004109	1	211	75993745697	N
0001104659-25-014122	0	2	45826877	
0001085146-25-001672	0	1	200000	N
0001104659-25-014121	4	1353	1583680286	
0001104186-25-000003	0	90	2707342117	N
0001363829-25-000017	1	13	287502436	N
0000902664-25-001050	0	2038	45388177650	
0002056783-25-000001	0	67	101494737	N
0000902664-25-001049	0	8	860988288	
0001172661-25-001162	1	246	134376454	
0001104659-25-014116	0	4	221025082	
0001104659-25-014115	0	4	1864922620	
0001536630-25-000002	0	32	298708185	N
0001012975-25-000092	4	38	4262718592	N
0000921895-25-000485	0	10	43826333	
0001104659-25-014113	0	11	113217025	
0000905148-25-000637	0	4	378543638	
0002056315-25-000004	0	1371	1038158557	N
0001085146-25-001671	0	2	1132692	N
0001104659-25-014110	0	37	1457403476	
0000950123-25-002790	2	2	848719610	N
0001104659-25-014109	0	15	616414127	
0000950123-25-002788	2	14	1213128426	N
0000950123-25-002787	1	373	7501080497	N
0000902664-25-001048	0	4	80586792	
0000902664-25-001047	0	119	1451662344	
0001104659-25-014105	0	6	317489149	
0001974312-25-000002	0	135	1090142736	Y
0001420506-25-000612	0	111	861776525	N
0001104659-25-014102	0	8	114516970	
0000921895-25-000484	3	20	838757392	
0001085146-25-001670	0	1	0	N
0001104659-25-014100	0	1	0	
0000902664-25-001046	0	7	49110537	
0001012975-25-000091	1	3	303012868	N
0001104659-25-014096	0	4	151954344	
0001104659-25-014094	0	5	139236883	
0001398344-25-002912	0	4	315103432	
0001398344-25-002911	0	409	2078309409	
0001815217-25-000001	0	112	307518113	N
0001104659-25-014093	2	1	560400	Y
0001085146-25-001669	0	1	0	N
0001104659-25-014092	0	88	2190989000	
0001085146-25-001668	0	1	0	N
0001693745-25-000001	0	11	216974907	N
0001420506-25-000610	0	171	735256871	N
0001535845-25-000004	0	964	47470182480	N
0001104659-25-014088	0	2	65076	
