ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-24-011239	187417		028-15811			HSG Holding Ltd
0000950123-24-011238	187797		028-15811			HSG Holding Ltd
0000950123-24-011242	186669		028-15811			HSG Holding Ltd
0001012975-24-000472	187205	0001844645	028-20630	000287988	802-110211	Pivotal bioVenture Partners Investment Advisor LLC
0000950123-24-011236	185291		028-21829	000160826	801-74089	TSG Consumer Partners LP
0001214659-24-018850	186632	0001742998	028-18846			FNY Investment Advisers, LLC
0000948046-24-000170	186593	0000948046	028-10103			DEUTSCHE BANK AG\
0001427274-24-000007	187851	0001046192	028-10601			CANADA LIFE ASSURANCE Co
0000948046-24-000169	184805	0000948046	028-10103			DEUTSCHE BANK AG\
0001427274-24-000006	184759	0001046192	028-10601			CANADA LIFE ASSURANCE Co
0000948046-24-000168	186625	0000948046	028-10103			DEUTSCHE BANK AG\
0001427274-24-000005	185274	0001046192	028-10601			CANADA LIFE ASSURANCE Co
0000948046-24-000167	187714	0000948046	028-10103			DEUTSCHE BANK AG\
0001677044-24-000033	186925	0001677044				OSAIC HOLDINGS, INC.
0001046192-24-000018	185542	0001800916	028-19820	000305404	801-118112	Value Partners Investments Inc.
0000919574-24-006404	186716	0001558971	028-16076	000164648	801-76834	Tekne Capital Management, LLC
0001677044-24-000032	185887	0001677044				OSAIC HOLDINGS, INC.
0000919574-24-006403	187766	0001558971	028-16076	000164648	801-76834	Tekne Capital Management, LLC
0000810972-24-000008	185165	0001648711	028-16981			Baird Financial Group, Inc.
0000948046-24-000166	186644	0000948046	028-10103			DEUTSCHE BANK AG\
0001677044-24-000031	186860	0001677044				OSAIC HOLDINGS, INC.
0001623632-24-001889	186602	0001056288	028-04375			FEDERATED HERMES, INC.
0001256484-24-000035	185487	0000073124	028-00290			NORTHERN TRUST CORP
0001112520-24-000024	184845	0001112520	028-06599			AKRE CAPITAL MANAGEMENT LLC
0001256484-24-000034	184590	0000073124	028-00290		001-36609	NORTHERN TRUST CORP
0000948046-24-000165	186633	0000948046	028-10103			DEUTSCHE BANK AG\
0000072971-24-000253	185651	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0001256484-24-000033	186635	0000073124	028-00290		001-36609	NORTHERN TRUST CORP
0000072971-24-000252	185166	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0001623632-24-001887	186367	0001692234	028-17598			Russell Investments Group, Ltd.
0001623632-24-001887	186366	0001056288	028-04375			FEDERATED HERMES, INC.
0001426459-24-000006	187027			000109391	801-56370	Nationwide Variable Insurance Trust and Nationwide Fund Advisors
0001426459-24-000006	187026			000109391	801-56370	Nationwide Mutual Funds/Nationwide Fund Advisors
0001426459-24-000006	187028					RUSSELL FRANK CO
0001256484-24-000032	187490	0001513216	028-14423	000160034	801-73006	First Sentier Investors (Australia) IM Ltd
0001256484-24-000032	187491	0001419999	028-13243	000144906	801-68369	MAR VISTA INVESTMENT PARTNERS LLC
0001256484-24-000032	187492	0001207017	028-10469	000122836	801-61701	LAZARD ASSET MANAGEMENT LLC
0001256484-24-000032	187493	0001165797	028-11728	000113308	801-60343	CAUSEWAY CAPITAL MANAGEMENT LLC
0001256484-24-000032	187494	0000902219	028-04557	000130131	801-62752	WELLINGTON MANAGEMENT GROUP LLP
0001256484-24-000032	187495	0001061186	028-07104	000104702	801-11916	WCM INVESTMENT MANAGEMENT, LLC
0001256484-24-000032	187496	0001356513	028-11863	000125012	801-61776	Westwood Global Investments, LLC
0001256484-24-000032	187497	0001040188	028-06354	000106189	801-46878	VICTORY CAPITAL MANAGEMENT INC
0001256484-24-000032	187498	0000860644	028-02634	000109876	801-60014	Aristotle Capital Management, LLC
0001256484-24-000032	187499	0000936753	028-04003	000108211	801-18767	ARIEL INVESTMENTS, LLC
0001256484-24-000032	187500	0001034524	028-03687	000106093	801-15180	POLEN CAPITAL MANAGEMENT LLC
0001256484-24-000032	187501	0001109147	028-05615	000109605	801-56651	AXIOM INVESTORS LLC /DE
0001256484-24-000032	187502	0000912938	028-04968	000110045	801-17352	MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001256484-24-000032	187503	0001274173	028-10904	000104652	801-13991	JANUS HENDERSON GROUP PLC
0001256484-24-000032	187504	0001102578	028-05269	000107926	801-56189	EARNEST PARTNERS LLC
0001256484-24-000032	187505	0001409427	028-12579	000123558	801-61564	Boston Common Asset Management, LLC
