ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001642274-24-000005	0	14	143143	N
0001826394-24-000004	0	55	82423651	N
0001322853-24-000009	0	53	400812040	N
0001826394-24-000014	0	67	98813356	N
0001713269-24-000006	0	9	234562786	N
0001842785-24-000008	0	8	834293653	N
0001872787-24-000007	0	51	297091338	N
0002034054-24-000002	0	159	161661337	N
0001084683-24-000010	0	107	1202908380	N
0001607512-24-000009	0	8	256393891	N
0001481669-24-000008	0	1	191835	
0001910205-24-000005	0	244	141862116	N
0001769089-24-000004	0	128	689927	N
0001568541-24-000005	0	2	98066	N
0002029317-24-000036	0	1165	592551256	N
0001826394-24-000008	0	83	163482497	N
0001420506-24-002582	0	375	724574655	N
0001826394-24-000012	0	82	143175034	N
0001420506-24-002584	0	102	2861369758	N
0001826394-24-000015	0	68	98456310	N
0001493152-24-046131	0	477	5694039	
0001542611-24-000007	1	366	1275132428	N
0000926171-24-000022	6	4603	87347563111	N
0001826394-24-000006	0	63	90888599	N
0001964958-24-000005	0	636	991725930	N
0001826394-24-000009	0	102	180758102	N
0001085146-24-005981	5	389	279409973	
0002001471-24-000006	0	97	818252008	N
0001826394-24-000011	0	85	158299563	N
0001826394-24-000017	0	80	120236412	N
0001698926-24-000005	0	121	193870757	N
0000950123-24-011927	0	10	8457929386	N
0001756759-24-000008	0	813	121117961	N
0001050442-24-000028	0	69	5288136334	N
0001213900-24-098596	0	70	279733941	
0001095449-24-000086	0	243	490627508	N
0001106832-24-000008	0	272	2453158640	N
0002044874-24-000001	0	81	72565920	N
0001445893-24-000009	0	278	171881014410	
0001213900-24-098589	0	15	149796441	
0001910312-24-000002	0	58	104276	N
0001839882-24-039312	0	564	250288200	
0001420506-24-002579	0	112	234966962	N
0001172661-24-005338	3	164	158113284	
0001214659-24-019213	0	428	188203372	
0001549408-24-000005	0	30	138456416	N
0001398344-24-020928	0	866	8350291315	
0001067926-24-000007	0	42	2122294	N
0001104659-24-119252	0	17	157715855	
0001104659-24-119251	0	4	598274867	Y
0001911348-24-000005	0	25	122401166	N
0001104659-24-119250	0	4	1403254617	
0001824600-24-000005	0	3	168392353	N
0001781882-24-000007	0	32	263350898	N
0001966033-24-000005	0	1274	256075324	N
0001420506-24-002578	0	19	348221402	N
0001826394-24-000002	0	90	167092436	N
0001085146-24-005977	0	1	0	N
0002011821-24-000005	0	187	382923447	N
0001012975-24-000496	0	42	1835566209	N
