ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001062993-24-009802	176363		028-11873	000149777	801-70103	MORGAN STANLEY & CO. LLC
0001062993-24-009802	176364		028-04069	000031194	801-13059	RBC CAPITAL MARKETS, LLC
0001062993-24-009802	176365		028-19305	000288566	801-110753	CRESSET ASSET MANAGEMENT, LLC
0001062993-24-009802	176366		028-12988	000006681	801-66192	FIRST WASHINGTON
0001062993-24-009802	176367		028-11925	000000079	801-3702	JP MORGAN SECURITIES PLC
0001062993-24-009802	176368		028-04558	000114310	801-60485	PARAMETIC PORTFOLIO ASSOCIATES LLC
0001062993-24-009802	176369		028-03125	000110901	801-17958	TRILLIUM ASSET MANAGEMENT, LLC
0001062993-24-009802	176370		028-18042	000125101	801-79223	JOHNSON FINANCIAL GROUP, LLC
0001062993-24-009802	176371		028-11964	000111616	801-57184	APERIO GROUP, LLC
0001062993-24-009802	176372		028-15458	000166580	801-77544	MERRIMAN WEALTH MANAGEMENT, LLC
0001062993-24-009802	176373		028-00551	000017868	801-68122	US BANCORP
0001062993-24-009802	176374		028-16612	000008174	801-7163	UBS GROUP AG
0001062993-24-009802	176375		028-02825	000016139	801-36951	BAHL & GAYNOR INC
0001062993-24-009802	176376		028-06408	000105958	801-11953	VANGUARD GROUP INC
0001062993-24-009802	176377		028-03692	000015800	801-28170	MILLER HOWARD INVESTMENTS INC /NY
0001062993-24-009802	176378		028-04819	000159289	801-72862	COLONY GROUP LLC
0001062993-24-009802	176379		028-13117	000011025	801-57434	WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC
0001062993-24-009802	176380		028-18349	000106720	801-48820	FIDUCIENT ADVISORS LLC
0001062993-24-009802	176381		028-17754	000151559	801-70719	CERITY PARTNERS LLC
0001062993-24-009802	176353		028-01707	000110550	801-8562	BAILARD, INC.
0001062993-24-009802	176383		028-04621	000000793	801-10746	STIFEL FINANCIAL CORP
0001062993-24-009802	176384		028-02956	000110757	801-16937	GREAT LAKES ADVISORS
0001062993-24-009802	176385		028-00290	000007927	801-80781	NORTHERN TRUST
0001062993-24-009802	176386		028-02588	000105907	801-33347	KLINGENSTEIN FIELDS & CO LLC
0001062993-24-009802	176387		028-17407	000168219	801-78284	ORGEL WEALTH MANAGEMENT, LLC
0001062993-24-009802	176388		028-19634	000147384	801-69248	SCHWARZ DYGOS WHEELER INVESTMENT ADVISORS LLC
0001062993-24-009802	176389		028-13510	000145323	801-69625	HIGHTOWER ADVISORS
0001062993-24-009802	176390		028-16217	000151043	801-70472	GARDE CAPITAL, INC.
0001062993-24-009802	176391		028-20451	000107148	801-38507	FOSTER GROUP, INC
0001062993-24-009802	176392		028-12526	000006413	801-10970	LPL FINANCIAL LLC
0001062993-24-009802	176393		028-20564	000283682	801-107852	BOND & DEVICK FINANCIAL NETWORK, INC.
0001062993-24-009802	176394		028-05098	000107823	801-32238	COMPASS CAPITAL MANAGEMENT, INC
0001062993-24-009802	176395		028-19788	000165139	801-110597	EPIQ PARTNERS, LLC
0001062993-24-009802	176396		028-05837	000108893	801-45536	LOGAN CAPITAL MANAGEMENT INC
0001062993-24-009802	176397		028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0001062993-24-009802	176398		028-22356	000104540	801-21230	LAKESIDE ADVISORS, INC.
0001062993-24-009802	176399		028-11507	000135496	801-70380	SUMMIT CREEK ADVISORS LLC
