FILINGMANAGER_NAME,Quarter_Count,Average_Holdings_Per_Quarter,Max_Holdings_Single_Quarter
"Affinity Capital Advisors, LLC",21,16249380.523809524,46065744
"Aft, Forsyth & Company, Inc.",2,2276338.0,4547468
"Aft, Forsyth & Sober, LLC",20,2079604.7,8088566
"Agate Pass Investment Management, LLC",13,5973045.538461538,11713482
Ahrens Investment Partners LLC,14,971972.9285714285,7362242
"Aigen Investment Management, LP",5,4199971.8,11377116
Alaethes Wealth LLC,16,6176638.9375,14213354
"Alamar Capital Management, LLC",15,1192240.0,3498467
"Alan B Lancz & Associates, Inc.",6,9572051.0,10420692
"Alan B. Lancz & Associates, Inc.",6,2543824.1666666665,8321529
"Alapocas Investment Partners, Inc.",13,9499007.846153846,17666362
Alaska Permanent Capital Management,1,3882.0,3882
Alaska Permanent Fund Corp,12,2918895.25,6482372
Alaska Wealth Advisors,9,2537107.111111111,3020438
Albar Capital Ltd,2,5839.5,6432
Alberta Investment Management Corp,21,36827912.0,212413056
"Alcosta Capital Management, Inc.",17,3707182.588235294,9124554
Aldebaran Financial Inc.,21,2705977.8095238097,7162570
Alecta Tjanstepension Omsesidigt,1,148230880.0,148230880
"Alera Investment Advisors, LLC",20,2834742.2,10223719
Aletheian Wealth Advisors LLC,13,2166876.6153846155,4591548
"Alexander Randolph Advisory, Inc.",5,379968.4,431749
"Alexandria Capital, LLC",8,23926.0,27879
"Alexis Investment Partners, LLC",1,3009703.0,3009703
Algebris (UK) Ltd,1,4365.0,4365
Alhambra Investment Management LLC,5,11702531.0,13758288
Alhambra Investment Partners LLC,16,2413665.0,11390860
Alight Capital Management LP,12,6153980.833333333,31623119
"Align Wealth Management, LLC",1,55280.0,55280
"Aljian Capital Management, LLC",3,66389276.0,77921622
"All Season Financial Advisors, Inc.",14,704786.1428571428,1575101
"All Terrain Financial Advisors, LLC",21,5244893.571428572,15520601
"AllGen Financial Advisors, Inc.",17,1445615.1176470588,2193228
AllSquare Wealth Management LLC,21,1409628.4285714286,4176755
Allegheny Financial Group,1,19535241.0,19535241
Allegheny Financial Group LTD,16,7339141.3125,18450425
Allegiance Financial Group Advisory Services LLC,2,3504854.5,3731337
"Allegiant Private Advisors, LLC",3,20852.666666666668,21837
"Allen Capital Group, LLC",21,6689417.904761905,23454913
Allen Mooney & Barnes Investment Advisors LLC,11,28477435.818181816,41388550
Alley Co LLC,9,33181.333333333336,82930
"Alley Investment Management Company, LLC",12,17558588.666666668,33671618
"Alliance Wealth Advisors, LLC",17,2012266.9411764706,4551517
