ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001573876-20-000008,14057453,SPDR S&P METALS AND MINING ETF,ETF,78464A755,,261,12315,SH,,SOLE,,12315,0,0,spdr s&p metals and mining etf,"Advisory Services Network, LLC",30-JUN-2020,,2020-06-30
0001573876-20-000008,14055482,AQUA METALS INC,Stock,03837J101,,132,94000,SH,,SOLE,,94000,0,0,aqua metals inc,"Advisory Services Network, LLC",30-JUN-2020,,2020-06-30
0001573876-20-000008,14057875,WHEATON PRECIOUS METALS CORP,Stock,962879102,,2,38,SH,,SOLE,33,38,0,0,wheaton precious metals corp,"Advisory Services Network, LLC",30-JUN-2020,,2020-06-30
0001573876-20-000008,14057876,WHEATON PRECIOUS METALS CORP,Stock,962879102,,4586,104110,SH,,SOLE,,104110,0,0,wheaton precious metals corp,"Advisory Services Network, LLC",30-JUN-2020,,2020-06-30
0001573876-20-000008,14057076,METALLA ROYALTY & STREAMING LTD,Stock,59124U605,,75,14072,SH,,SOLE,,14072,0,0,metalla royalty & streaming ltd,"Advisory Services Network, LLC",30-JUN-2020,,2020-06-30
0001680613-20-000006,11687336,Silvercorp Metals Inc Com,COM,82835P954,,275,51533,SH,,SOLE,,0,0,51533,silvercorp metals inc com,"Almanack Investment Partners, LLC.",30-JUN-2020,,2020-06-30
0001104659-20-092667,8063742,KENNAMETAL INC,STOCK,489170100,,0,15,SH,,SOLE,,0,0,15,kennametal inc,"EVOKE WEALTH, LLC",30-JUN-2020,,2020-06-30
0001062993-20-003788,13018251,WHEATON PRECIOUS METALS CORP,COM,962879102,,370,8410,SH,,SOLE,,0,0,0,wheaton precious metals corp,"Eqis Capital Management, Inc.",30-JUN-2020,,2020-06-30
0001398344-20-015378,18923374,SILVERCORP METALS INC,COM,82835P103,,5,1017,SH,,SOLE,,1017,0,0,silvercorp metals inc,Parkside Financial Bank & Trust,30-JUN-2020,,2020-06-30
0001420506-20-000851,15441132,SILVERCREST METALS INC,COM,828363101,,1511,164950,SH,,SOLE,,164950,0,0,silvercrest metals inc,"AIGEN INVESTMENT MANAGEMENT, LP",30-JUN-2020,,2020-06-30
0001420506-20-000851,15441262,WHEATON PRECIOUS METALS CORP,COM,962879102,,1139,25858,SH,,SOLE,,25858,0,0,wheaton precious metals corp,"AIGEN INVESTMENT MANAGEMENT, LP",30-JUN-2020,,2020-06-30
0001424717-20-000008,19249159,WHEATON PRECIOUS METALS CORP COM,Stock,962879102,,9,200,SH,,SOLE,0,0,0,200,wheaton precious metals corp com,"Plante Moran Financial Advisors, LLC",30-JUN-2020,,2020-06-30
0001424717-20-000008,19249254,SIERRA METALS INC COM,Stock,82639W106,,83,65000,SH,,SOLE,0,0,0,65000,sierra metals inc com,"Plante Moran Financial Advisors, LLC",30-JUN-2020,,2020-06-30
0001085146-20-002091,10557320,TRILOGY METALS INC NEW,COM,89621C105,,3,11700,SH,Call,SOLE,,11700,0,0,trilogy metals inc new,"HAP Trading, LLC",30-JUN-2020,,2020-06-30
0001580642-21-004473,4991169,WHEATON PRECIOUS METALS CORP,COM,962879102,,276,6266,SH,,SOLE,,0,0,6266,wheaton precious metals corp,"CWM, LLC",30-JUN-2020,,2020-06-30
0000938076-20-000004,54536542,META FINL GROUP INC,COM,59100U108,,219,12064,SH,,SOLE,NONE,12064,0,0,meta finl group inc,STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,30-JUN-2020,,2020-06-30
0001580642-21-004473,4991960,META MATERIALS INC,COM,59134N104,,1,100,SH,,SOLE,,0,0,100,meta materials inc,"CWM, LLC",30-JUN-2020,,2020-06-30
0000950123-20-008164,15297194,WHEATON PRECIOUS METALS CORP COM,COM,962879102,,3564,81035,SH,,SOLE,,81035,0,0,wheaton precious metals corp com,Hillsdale Investment Management Inc.,30-JUN-2020,,2020-06-30
0000950123-20-008164,15297195,WHEATON PRECIOUS METALS CORP COM,COM,962879102,,2850,64800,SH,,SOLE,,64800,0,0,wheaton precious metals corp com,Hillsdale Investment Management Inc.,30-JUN-2020,,2020-06-30
0001033505-20-000005,41189801,WHEATON PRECIOUS METALS CORP,COM,962879102,,867,19691,SH,,SOLE,,19691,0,0,wheaton precious metals corp,COBBLESTONE CAPITAL ADVISORS LLC /NY/,30-JUN-2020,,2020-06-30
0001600151-20-000005,16055261,WHEATON PRECIOUS METALS CORP,COM,962879102,,350,7945,SH,,SOLE,,0,0,7945,wheaton precious metals corp,"Arete Wealth Advisors, LLC",30-JUN-2020,,2020-06-30
0001041062-20-000107,12578211,WHEATON PRECIOUS METALS CORP,COM,962879102,,4508,151524,SH,,SOLE,6,151524,0,0,wheaton precious metals corp,SEI INVESTMENTS CO,30-JUN-2020,,2020-06-30
0001041062-20-000107,12580086,KENNAMETAL INC,COM,489170100,,0,3,SH,,SOLE,5,3,0,0,kennametal inc,SEI INVESTMENTS CO,30-JUN-2020,,2020-06-30
0001041062-20-000107,12580087,KENNAMETAL INC,COM,489170100,,2094,56758,SH,,SOLE,6,56758,0,0,kennametal inc,SEI INVESTMENTS CO,30-JUN-2020,,2020-06-30
0001041062-20-000107,12577742,COMMERCIAL METALS CO,COM,201723103,,24,1160,SH,,SOLE,5,1160,0,0,commercial metals co,SEI INVESTMENTS CO,30-JUN-2020,,2020-06-30
0001041062-20-000107,12577743,COMMERCIAL METALS CO,COM,201723103,,1831,82230,SH,,SOLE,6,82230,0,0,commercial metals co,SEI INVESTMENTS CO,30-JUN-2020,,2020-06-30
0001085146-20-002099,20130875,WHEATON PRECIOUS METALS CORP,COM,962879102,,1094,24833,SH,,SOLE,,20500,0,4333,wheaton precious metals corp,Gratus Capital LLC,30-JUN-2020,,2020-06-30
0001085146-20-002096,20279292,SILVERCORP METALS INC,COM,82835P103,,67,12500,SH,,SOLE,,12500,0,0,silvercorp metals inc,"Financial Architects, Inc",30-JUN-2020,,2020-06-30
0001603328-20-000006,42791121,Wheaton Precious Metals Corp,COM,962879102,,3156,72000,SH,,SOLE,,72000,0,0,wheaton precious metals corp,FORSTA AP-FONDEN,30-JUN-2020,,2020-06-30
0001413303-20-000013,19549963,METALLA RTY & STREAMING LTD,COM NEW,59124U605,,4299,810825,SH,,SOLE,,792725,0,18100,metalla rty & streaming ltd,GLOBAL STRATEGIC MANAGEMENT INC,30-JUN-2020,,2020-06-30
0001413303-20-000013,19549973,WHEATON PRECIOUS METALS CORP,COM,962879102,,2428,55310,SH,,SOLE,,53785,0,1525,wheaton precious metals corp,GLOBAL STRATEGIC MANAGEMENT INC,30-JUN-2020,,2020-06-30
0001172661-20-001632,13233319,WHEATON PRECIOUS METALS CORP,COM,962879102,,220,5000,SH,,SOLE,,0,0,5000,wheaton precious metals corp,PAPP L ROY & ASSOCIATES,30-JUN-2020,,2020-06-30
0001085146-20-002091,10558482,COMMERCIAL METALS CO,COM,201723103,,14,13600,SH,Call,SOLE,,13600,0,0,commercial metals co,"HAP Trading, LLC",30-JUN-2020,,2020-06-30
0001085146-20-002091,10557937,SILVERCREST METALS INC,COM,828363101,,503,54899,SH,,SOLE,,54899,0,0,silvercrest metals inc,"HAP Trading, LLC",30-JUN-2020,,2020-06-30
0001580642-21-004473,4989798,SILVERCORP METALS INC,COM,82835P103,,66,11949,SH,,SOLE,,0,0,11949,silvercorp metals inc,"CWM, LLC",30-JUN-2020,,2020-06-30
0001580642-21-004473,4989572,TRILOGY METALS INC NEW,COM,89621C105,,3,1050,SH,,SOLE,,0,0,1050,trilogy metals inc new,"CWM, LLC",30-JUN-2020,,2020-06-30
