ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001172661-24-003510,104612860,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,90149559,88146,SH,,SOLE,,88146,0,0,asml holding n v,Palestra Capital Management LLC,30-JUN-2024,,2024-06-30
0001656456-24-000003,104325208,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,89488875,87500,SH,,SOLE,,87500,0,0,asml holding n v,APPALOOSA LP,30-JUN-2024,,2024-06-30
0001006378-24-000010,104753620,ASML HOLDING N V N Y REGISTRY SHS,COM,N07059210,,16588272,16220,SH,,SOLE,,9143,0,7076,asml holding n v n y registry shs,"SEGALL BRYANT & HAMILL, LLC",30-JUN-2024,,2024-06-30
0001634149-24-000036,105200867,ASML HOLDING N V N Y REGISTRY SHS,ADR,N07059210,,1248753,1221,SH,,SOLE,0,1221,0,0,asml holding n v n y registry shs,"Anchor Investment Management, LLC",30-JUN-2024,,2024-06-30
0000950123-24-008739,104737344,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,17695274,17302,SH,,SOLE,,17302,0,0,asml holding n v,PointState Capital LP,30-JUN-2024,,2024-06-30
0001273087-24-000084,104485482,ASML   HOLDING               N  V,N       Y  REGISTRY  SHS,N07059210,,54756964,53540,SH,,SOLE,,53540,0,0,asml   holding               n  v,MILLENNIUM MANAGEMENT LLC,30-JUN-2024,,2024-06-30
0001085146-24-004530,105173497,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,454093,444,SH,,SOLE,,444,0,0,asml holding n v,"Clear Rock Advisors, LLC",30-JUN-2024,,2024-06-30
0001777271-24-000004,105177858,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,14746704,16047,SH,,SOLE,0,42,0,16005,asml holding n v,"Sanctuary Advisors, LLC",30-JUN-2024,,2024-06-30
0001364725-24-000008,105183029,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1911827,2403,SH,,SOLE,0,0,0,2403,asml holding n v,"CIM, LLC",30-JUN-2024,,2024-06-30
0001986389-24-000005,105183995,ASML HOLDING N V,ADR,N07059210,,497047,486,SH,,SOLE,,486,0,0,asml holding n v,"LAZARI CAPITAL MANAGEMENT, INC.",30-JUN-2024,,2024-06-30
