FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Coordinated Financial Services, Inc./CO",,,,,,,,,,,,,,,,,inf,3.66,-100.0,
"Copeland Capital Management, LLC",,13.31,25.99,1.15,1.43,13.56,2.46,-47.77,64.46,-19.54,-12.98,-5.67,20.54,115124.04,-8.27,52.16,10.16,4.69,-6.0,-6.93
"Copley Financial Group, Inc.",,,,,,,,,,,,,,,,,,,inf,-100.0
Coppell Advisory Solutions Corp.,,,,,,,,,,,,inf,75.9,-100.0,,,inf,-100.0,,
Coppell Advisory Solutions LLC,,,,inf,-100.0,,,,,,,inf,75.9,-4.54,-40.45,466.06,-100.0,inf,-11.55,4.91
"Copperleaf Capital, LLC",,22.25,3.05,-2.06,14.08,13.63,0.36,11.08,-5.21,-15.71,13.43,83397.46,19.38,-3.51,-18.53,-0.11,-4.99,9.59,-4.0,11.88
"Copperwynd Financial, LLC",,inf,30.65,26.3,18.95,42.11,80.47,28.78,-13.47,-20.03,-9.94,98277.16,42.2,18.14,-11.6,17.88,30.18,14.24,15.16,31.88
Corbenic Partners LLC,,30.67,56.79,8.52,24.19,22.2,11.36,24.21,-0.77,-19.13,-100.0,,,,,,,,,
"Cordant, Inc.",,,,,,,inf,-100.0,,,,,inf,18.12,-7.28,790.59,353.06,6.23,4.78,-2.05
Cordasco Financial Network,,34.32,5.97,-27.32,53.7,15.06,6.95,19.31,-13.75,-15.51,-100.0,,,,,,,,,
Cordatus Wealth Management LLC,,26.47,2.02,5.37,4.06,-100.0,,inf,-2.45,-20.02,-5.75,-100.0,,inf,-100.0,,,inf,-3.44,1.45
Core Alternative Capital,,9.3,-19.93,7.02,14.26,35.67,11.26,7.23,17.31,22.72,28.12,116476.93,19.39,-0.28,-4.04,6.27,1.59,0.87,-4.76,-10.93
"Core Wealth Advisors, Inc.",,61.46,-0.17,2.01,11.15,-52.51,0.0,10.25,196.62,39.03,-3.42,11026.03,45.5,12.32,-4.82,117.6,22.8,26.34,-4.76,-0.59
"Core Wealth Management, Inc.",,,,,,,,,,,,inf,20.09,16.13,-32.0,19.09,53.92,19.84,0.0,-5.69
Core Wealth Partners LLC,,,,,,,,,,,,inf,188.28,18.37,-6.82,23.54,14.16,6.4,-2.1,-26.6
"CoreCap Advisors, LLC",,,,,,,,inf,-5.89,-41.07,-11.67,104422.79,-100.0,inf,5.49,27.63,25.42,-100.0,inf,-3.93
CoreFirst Bank & Trust,,,,inf,5.94,14.2,0.13,-2.81,-9.16,-17.04,-13.05,111181.06,13.37,2.8,-11.46,10.49,8.26,2.49,-4.1,-2.67
"Corebridge Financial, Inc.",,,,,,,,,,,,,,,,,,inf,-6.73,-3.82
"Corient Capital Partners, LLC",,26.29,-3.58,-18.93,-5.64,4.89,4.74,13.27,-5.94,-5.77,-100.0,,,,,,,,,
Corient Private Wealth LLC,,,,,,,,,,,,,,inf,-5.69,31.0,11.73,5.31,3.61,-8.61
"Cornell Pochily Investment Advisors, Inc.",,27.75,4.31,7.66,1.8,17.8,5.32,20.4,84.38,-57.79,-7.4,101867.86,23.43,17.26,-7.29,18.23,7.87,111.94,-51.1,-3.62
"Cornerstone Advisors, Inc.",,26.23,1.92,-100.0,,,,,,,,,,,,,,,,
