FILINGMANAGER_NAME,SNOW,PLTR,GOOGL,MSFT,ASML,AAPL,AMZN,CRM,TSLA,META,SHOP,NVDA,PANW,AMD
"626 Financial, LLC",0.0,0.0,0.0,32.04855138999999,0.0,-56.314173460000006,-255.31432308999996,1.5163054200000001,-524.1441350300003,0.027736490000000003,0.0,315.23666037000004,0.0,0.0
6elm Capital LP,0.0,0.0,0.0,0.0,0.0,0.0,0.60512404,0.0,0.0,-0.33887599999999996,0.0,0.0,0.0,0.0
"7G CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,341.8352236500001,0.38161338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9258 Wealth Management, LLC",0.0,0.0,0.0,30.282300120000002,-0.041713679999999975,-53.94649783000002,-175.19373788,-69.28465167,-312.43151767000006,-106.9906605,0.9008316700000001,243.49386037,0.7743732300000001,24.914688870000003
"A&I FINANCIAL SERVICES, LLC",0.0,0.0,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.010872,0.0,0.0,0.0021160000000000003,0.0,0.0
"A. D. Beadell Investment Counsel, Inc.",0.0,0.0,0.21923334,0.14108569999999998,0.0,0.33299162000000004,0.43694278000000003,0.0,0.0,0.03304721,0.0,0.01881202,0.0,0.0
"A.P. Gilfoyle & Co., L.P.",0.0,0.0,0.0,0.0,0.0,-1.3440952799999997,2.8329658099999997,0.0,0.29236,-0.12597088,0.0,0.0,0.0,0.0
"A.R.T. Advisors, LLC",0.0,0.0,0.0,-0.05885,-0.07622000000000001,-0.122788,-0.1129,0.0,0.0,0.0,0.0,-0.41898599999999997,-0.153976,-0.19948
"AA Financial Advisors, LLC",0.0,0.0,0.0,1.08389113,0.08978050000000001,-1.0857950499999998,1.2421422999999996,0.09086243,0.36404159999999997,0.05063417000000001,0.17256715,0.15744935999999998,0.0,0.0
"AAF Wealth Management, LLC",0.0,0.0,0.0,29.752954570000004,0.0,-56.81953011,-203.09074534,0.0,0.0,-93.03759493000001,0.0,0.0,0.0,0.0
"AAFCPAs Wealth Management, LLC",0.0,0.0,0.0,-0.160408,0.0,-0.11426635999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAFMAA Wealth Management & Trust LLC,0.0,0.0,0.0,28.73518412,-0.008122330000000006,-51.2784939,-190.03920491,-68.29745276000001,0.010872,-99.77267117000002,0.0,1.1871886,0.00046567000000000223,19.21545846
ABEILLE ASSET MANAGEMENT SA,0.0,0.0,0.0,3.3833196200000004,0.0,-41.15081364000001,-391.28568174000003,-71.12197939,-447.06567603999997,-145.45803523,0.0,-0.39445399999999986,-0.434362,-0.512754
"ABLE Financial Group, LLC",0.0,0.0,0.0,0.08587850999999999,0.0,0.16541808,0.23383331,0.22694483,0.79334481,0.38227909,0.0,1.35295164,0.0,0.26403
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",0.0,0.0,0.0,0.01967368,0.0,0.06975121000000001,0.06538793999999999,0.09930228999999999,0.38899942,-0.36822,0.0,0.8056534,0.0,-0.21572600000000003
ABNER HERRMAN & BROCK LLC,0.0,0.0,0.0,0.29080026,0.0,0.3538156799999999,1.66388958,0.1558084,0.0,0.74703623,0.0,33.23229525000001,0.0,0.8617636100000002
"ABOUND FINANCIAL, LLC",0.0,0.0,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.010872,0.00045599999999999997,0.0,0.0,0.0,0.0
"ABRAMS CAPITAL MANAGEMENT, L.P.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.34190027000002,0.0,0.0,0.0,0.0
"ABSHER WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,34.39774173999999,0.0,-61.33493999000001,-202.85253352,0.0,-218.91494440000002,-110.47437957000002,0.0,0.8069724899999999,0.0,0.0
"ABSOLUTE CAPITAL MANAGEMENT, LLC",0.0,-0.29168792,0.0,0.20499277000000002,0.0,0.12910827,-0.17345294,0.041249999999999995,0.0,0.00864389,0.0,0.3751943,1.3267090300000002,0.0
ABSOLUTE INVESTMENT ADVISERS LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.19385885,0.0
ACADEMY CAPITAL MANAGEMENT,0.0,0.0,0.0,-0.00038520000000000004,0.0,0.007421840000000001,0.031074079999999997,0.0,0.0,0.00305256,0.0,0.0,0.0,0.0
ACADEMY CAPITAL MANAGEMENT INC/TX,0.0,0.0,0.0,249.94297058,0.0,-0.03889511000000001,61.542596610000054,0.0,0.0,339.0775531,0.0,0.0,0.0,0.0
"ACAS, LLC",0.0,0.0,0.0,0.9366662499999998,0.0,0.49434129000000004,0.23282342,0.0,2.69743711,0.17741980000000002,0.0,0.0021160000000000003,0.0,0.0
"ACCESS FINANCIAL SERVICES, INC.",0.0,0.0,0.0,35.64891828000001,-0.07622000000000001,-55.86347332,-0.12262871000000006,0.0,-0.15581114000000007,0.024443240000000005,0.0,0.17888939,0.0,0.0
ACCIDENT COMPENSATION CORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOUNT MANAGEMENT LLC,0.40593282999999997,0.0,0.0,0.0241975,364.96332637999996,0.0,0.5907616300000001,0.14871045,0.0,0.0,0.0,0.0,0.0,0.0
"ACCREDITED INVESTOR SERVICES, LLC",0.0,0.0,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.010872,0.0,0.0,0.0021160000000000003,0.0,0.0
"ACCURATE INVESTMENT SOLUTIONS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACG Wealth,0.15553045000000001,0.43286372000000006,0.0,0.07287173999999999,0.0,0.16105211000000003,0.39339477,0.26229230000000003,1.09154258,0.38839612,0.7547914099999999,0.26142841000000006,0.45706792999999996,0.83034283
"ACIMA PRIVATE WEALTH, LLC",0.0,0.0,0.0,-140.84778891,0.0,-193.56197056,-226.42541525000007,0.0,0.0,-197.81460325,0.49942295999999997,-245.68399032000005,0.0,0.0
ACORN CREEK CAPITAL LLC,0.0,0.0,0.0,0.00921922,0.0,0.11111372000000001,0.07982464999999998,0.12565047999999998,0.6981585399999999,0.20091336,0.0,0.94040807,0.0,0.10689815
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,-0.020656960000000002,-154.74248487000003,0.0,34.02360180999999,0.0,-62.54757304000002,-202.04148805000003,-79.30801328,-279.13660103,-99.54115032999998,364.18745284,176.81088378000004,-125.85411489,24.748442710000003
"ACR Alpine Capital Research, LLC",0.0,0.0,0.0,30.455252339999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACT Advisors, LLC.",0.0,0.0,0.0,30.388316290000002,0.0,-59.119661470000004,0.17353775,0.0,0.30879432,0.22079316,0.0,0.9081651499999999,0.0,0.0
"ACT CAPITAL MANAGEMENT, LLC",0.15984399999999999,0.0,0.0,0.0,0.0,0.0,0.22865191,0.0,0.0,0.33871999999999997,0.0,0.44295399999999996,0.0,0.0
"ACT Capital Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.047338,0.0,0.0,0.0,0.0,-0.025729999999999996,0.0,0.0
