ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001911520-23-000002,89784823,NVIDIA CORP  ,COM,67066G104,,1667453,6003,SH,,SOLE,,0,0,6003,nvidia corp  ,"Cladis Investment Advisory, LLC",31-MAR-2023,,2023-03-31
0001941040-23-000146,86814138,NVIDIA CORPORATION,COM,67066G104,,757481,2727,SH,,SOLE,,2655,0,72,nvidia corporation,BECKER CAPITAL MANAGEMENT INC,31-MAR-2023,,2023-03-31
0001965522-23-000003,90315182,NVIDIA CORPORATION,COM,67066G104,,573595,2065,SH,,SOLE,0,0,0,2065,nvidia corporation,"Clifford Group, LLC",31-MAR-2023,,2023-03-31
0001398344-23-009814,84693373,NVIDIA CORPORATION,COM,67066G104,,34166,123,SH,,SOLE,,0,0,123,nvidia corporation,"Lumature Wealth Partners, LLC",31-MAR-2023,,2023-03-31
0001645890-23-000002,85900615,NVIDIA CORPORATION,COM,67066G104,,1181859,4170,SH,,SOLE,0,4170,0,0,nvidia corporation,Fiduciary Group LLC,31-MAR-2023,,2023-03-31
0001062993-23-011088,91103723,NVIDIA CORP,COMMON STOCK,67066G104,,13898,50,SH,,SOLE,,0,0,50,nvidia corp,"Strategic Investment Solutions, Inc. /IL",31-MAR-2023,,2023-03-31
0001062993-23-011088,91102889,NVIDIA CORP,COMMON STOCK,67066G104,,13904,50,SH,,SOLE,,0,0,50,nvidia corp,"Strategic Investment Solutions, Inc. /IL",31-MAR-2023,,2023-03-31
0001062993-23-011088,91103395,NVIDIA CORP,COMMON STOCK,67066G104,,211105,760,SH,,SOLE,,0,0,760,nvidia corp,"Strategic Investment Solutions, Inc. /IL",31-MAR-2023,,2023-03-31
0001062993-23-011088,91102242,NVIDIA CORP,COMMON STOCK,67066G104,,52096,188,SH,,SOLE,,0,0,188,nvidia corp,"Strategic Investment Solutions, Inc. /IL",31-MAR-2023,,2023-03-31
0000861177-23-000005,85577150,NVIDIA,EQUITY US CM,67066G104,,290881022,1047201,SH,,SOLE,,379858,0,667343,nvidia,UBS ASSET MANAGEMENT AMERICAS INC,31-MAR-2023,,2023-03-31
0000861177-23-000005,85577146,NVIDIA,EQUITY US CM,67066G104,,547053015,1969446,SH,,SOLE,8,1838181,0,131265,nvidia,UBS ASSET MANAGEMENT AMERICAS INC,31-MAR-2023,,2023-03-31
0001699080-23-000002,85540494,NVIDIA CORPORATION,COM,67066G104,,631649,2274,SH,,SOLE,,0,0,2274,nvidia corporation,"Synergy Asset Management, LLC",31-MAR-2023,,2023-03-31
0001140361-23-024810,85536594,NVIDIA CORP,COM,67066G104,,10876918,39158,SH,,SOLE,,36284,0,2874,nvidia corp,FIDUCIARY TRUST CO,31-MAR-2023,,2023-03-31
0001511847-23-000003,91095097,NVIDIA CORPORATION,COM,67066G104,,833,3000,SH,,SOLE,,3000,0,0,nvidia corporation,Lumina Fund Management LLC,31-MAR-2023,,2023-03-31
0001815183-23-000001,89129610,NVIDIA CORPORATION,COM,67066G104,,441921,1593,SH,,SOLE,,0,0,1593,nvidia corporation,"Fortis Group Advisors, LLC",31-MAR-2023,,2023-03-31
0001760444-23-000002,84950871,NVIDIA CORP,COM,67066G104,,1098,44455,SH,,SOLE,,44455,0,0,nvidia corp,"Old North State Trust, LLC",31-MAR-2023,,2023-03-31
0001600064-23-000003,92261866,NVIDIA CORPORATION,COM,67066G104,,30108,108392,SH,,SOLE,,108392,0,0,nvidia corporation,"Toroso Investments, LLC",31-MAR-2023,,2023-03-31
0001420506-23-001213,92129330,NVIDIA CORPORATION,COM,67066G104,BBG000BBJQV0,826644,2976,SH,,SOLE,,2976,0,0,nvidia corporation,"Seaport Global Advisors, LLC",31-MAR-2023,,2023-03-31
0001597298-23-000002,90781297,NVIDIA CORP,COM,67066G104,,1400108,5041,SH,,SOLE,,0,0,5041,nvidia corp,"Verity Asset Management, Inc.",31-MAR-2023,,2023-03-31
0001760444-23-000003,84453777,NVIDIA Corp,COM,67066G104,,1098,3952,SH,,SOLE,,3952,0,0,nvidia corp,"Old North State Trust, LLC",31-MAR-2023,,2023-03-31
0001616328-23-000002,87153610,NVIDIA CORP,Equities,67066G104,,793,2855,SH,,SOLE,,0,0,2855,nvidia corp,"Garde Capital, Inc.",31-MAR-2023,,2023-03-31
0001420506-23-001215,85557214,NVIDIA CORPORATION,COM,67066G104,,135351232,484002,SH,,SOLE,,0,0,0,nvidia corporation,"Empower Advisory Group, LLC",31-MAR-2023,,2023-03-31
0001085146-23-002479,85794012,NVIDIA CORPORATION,COM,67066G104,BBG001S5TZJ6,5008334,18031,SH,,SOLE,,18031,0,18031,nvidia corporation,CYPRESS ASSET MANAGEMENT INC/TX,31-MAR-2023,,2023-03-31
0001085146-23-002480,85318337,NVIDIA CORPORATION,COM,67066G104,BBG001S5TZJ6,733175859,2639507,SH,,SOLE,,2639507,0,0,nvidia corporation,ProShare Advisors LLC,31-MAR-2023,,2023-03-31
0001398344-23-010491,88938788,NVIDIA CORPORATION,COM,67066G104,,1831144,6592,SH,,SOLE,,6592,0,0,nvidia corporation,SHEETS SMITH WEALTH MANAGEMENT,31-MAR-2023,,2023-03-31
0001954551-23-000003,85050146,NVIDIA CORPORATION COM,Stock,67066G104,,2899487,10438,SH,,SOLE,0,2897,0,7541,nvidia corporation com,"Warther Private Wealth, LLC",31-MAR-2023,,2023-03-31
0001729254-23-000003,86445150,NVIDIA CORPORATION COM,Stock,67066G104,,9529,34306,SH,,SOLE,0,34306,0,0,nvidia corporation com,Front Row Advisors LLC,31-MAR-2023,,2023-03-31
0001754960-23-000172,89153233,NVIDIA CORPORATION,COM,67066G104,,700503,2591,SH,,SOLE,,0,0,2591,nvidia corporation,"BKA Wealth Consulting, Inc.",31-MAR-2023,,2023-03-31
0001762068-23-000003,83988180,NVIDIA CORPORATION,COM,67066G104,,1107,3697,SH,,SOLE,,0,0,3697,nvidia corporation,"MBM Wealth Consultants, LLC",31-MAR-2023,,2023-03-31
0001951757-23-000319,88682095,NVIDIA CORPORATION,COM,67066G104,,543362,1956,SH,,SOLE,,0,0,1956,nvidia corporation,KENNEDY INVESTMENT GROUP,31-MAR-2023,,2023-03-31
0000950123-23-005630,90945634,NVIDIA CORPORATION,COM,67066G104,,629738000,2267120,SH,,SOLE,5,2266963,0,157,nvidia corporation,MACQUARIE GROUP LTD,31-MAR-2023,,2023-03-31
0000950123-23-005630,90945632,NVIDIA CORPORATION,COM,67066G104,,2111052,7600,SH,Put,SOLE,1,0,0,0,nvidia corporation,MACQUARIE GROUP LTD,31-MAR-2023,,2023-03-31
0000950123-23-005630,90945631,NVIDIA CORPORATION,COM,67066G104,,555,2,SH,,SOLE,1,0,0,0,nvidia corporation,MACQUARIE GROUP LTD,31-MAR-2023,,2023-03-31
0000950123-23-005630,90945630,NVIDIA CORPORATION,COM,67066G104,,41665,150,SH,,SOLE,1,0,0,0,nvidia corporation,MACQUARIE GROUP LTD,31-MAR-2023,,2023-03-31
0000950123-23-005630,90945629,NVIDIA CORPORATION,COM,67066G104,,16069827,57853,SH,,SOLE,8,18947,38906,0,nvidia corporation,MACQUARIE GROUP LTD,31-MAR-2023,,2023-03-31
0000950123-23-005630,90945628,NVIDIA CORPORATION,COM,67066G104,,28025326,101319,SH,,SOLE,3,101319,0,0,nvidia corporation,MACQUARIE GROUP LTD,31-MAR-2023,,2023-03-31
0001845003-23-000001,87340111,NVIDIA CORPORATION,COM,67066G104,,469709,1691,SH,,SOLE,,1691,0,0,nvidia corporation,Golden State Equity Partners,31-MAR-2023,,2023-03-31
0001213900-23-042110,89890592,Nvidia Corp,Common Stock,67066G104,,3762950,13547,SH,,SOLE,,13547,0,0,nvidia corp,"3Chopt Investment Partners, LLC",31-MAR-2023,,2023-03-31
0001445893-23-000002,91725930,NVIDIA CORP,COM,67066G904,,3073084558,112226,SH,Call,SOLE,1,112226,0,0,nvidia corp,CTC LLC,31-MAR-2023,,2023-03-31
0001889918-23-000009,89356814,NVIDIA CORP,Stock,67066G104,,1052254,3788,SH,,SOLE,,0,0,3788,nvidia corp,Certified Advisory Corp,31-MAR-2023,,2023-03-31
0001062993-23-011751,86588635,NVIDIA CORP COM,COM,67066G104,,2553594,9375,SH,,SOLE,,0,0,9375,nvidia corp com,Coppell Advisory Solutions LLC,31-MAR-2023,,2023-03-31
0000891943-23-000003,90843553,NVIDIA CORPORATION,COM,67066G104,,5794,20858,SH,,SOLE,,0,0,20858,nvidia corporation,"CENTAURUS FINANCIAL, INC.",31-MAR-2023,,2023-03-31
0001140361-23-025348,89201107,NVIDIA CORPORATION,COM,67066G104,,18856972,67887,SH,,SOLE,,67887,0,0,nvidia corporation,Harvest Portfolios Group Inc.,31-MAR-2023,,2023-03-31
0001876496-23-000007,87980088,NVIDIA Corp,Common Stock,67066G104,,96063,345837,SH,,SOLE,1,345837,0,0,nvidia corp,Border to Coast Pensions Partnership Ltd,31-MAR-2023,,2023-03-31
0000019617-23-000378,89840818,NVIDIA Corporation,COM,67066G104,,1164810,4194,SH,,SOLE,23,206,0,3988,nvidia corporation,JPMORGAN CHASE & CO,31-MAR-2023,,2023-03-31
0000810265-23-000004,90934711,NVIDIA CORPORATION,Common Stock,67066G104,,1132620,4077547,SH,,SOLE,,4077547,0,0,nvidia corporation,NEW YORK STATE COMMON RETIREMENT FUND,31-MAR-2023,,2023-03-31
0001848237-23-000003,87118102,NVIDIA CORP,COM,67066G104,,472,1701,SH,,SOLE,,1701,0,0,nvidia corp,"SkyView Investment Advisors, LLC",31-MAR-2023,,2023-03-31
0001398344-23-009978,86072345,NVIDIA CORPORATION,COM,67066G104,,1900635,6842,SH,,SOLE,,6842,0,0,nvidia corporation,"GSB Wealth Management, LLC",31-MAR-2023,,2023-03-31
0001104659-23-062247,89712108,NVIDIA CORPORATION COM,COM,67066G104,,8572804,30863,SH,,SOLE,,30862,0,0,nvidia corporation com,"TITLEIST ASSET MANAGEMENT, LLC",31-MAR-2023,,2023-03-31
0001015247-23-000003,87738259,NVIDIA CORPORATION,COM,67066G104,,405544,1460,SH,,SOLE,0,0,0,1460,nvidia corporation,COURIER CAPITAL LLC,31-MAR-2023,,2023-03-31
0001015247-23-000004,86987561,NVIDIA CORPORATION,COM,67066G104,,1253921,4514,SH,,SOLE,0,0,0,4514,nvidia corporation,HNP Capital LLC,31-MAR-2023,,2023-03-31
0001977992-23-000001,92689078,NVIDIA CORP,COM,67066G104,,18888,68,SH,,SOLE,0,68,0,0,nvidia corp,"Trivant Custom Portfolio Group, LLC",31-MAR-2023,,2023-03-31
0001445893-23-000002,91725931,NVIDIA CORP,COM,67066G954,,2738792894,100018,SH,Put,SOLE,1,100018,0,0,nvidia corp,CTC LLC,31-MAR-2023,,2023-03-31
0001978011-23-000001,90542242,NVIDIA CORPORATION,COM,67066G104,,245623,856,SH,,SOLE,,0,0,856,nvidia corporation,"Abacus Wealth Partners, LLC",31-MAR-2023,,2023-03-31
0001420506-23-001209,89208710,NVIDIA CORPORATION,COM,67066G104,,69443,250,SH,,SOLE,,250,0,0,nvidia corporation,CHELSEA COUNSEL CO,31-MAR-2023,,2023-03-31
0001905128-23-000002,91561214,NVIDIA CORP,Equities,67066G104,,79998,288,SH,,SOLE,,288,0,0,nvidia corp,American Trust,31-MAR-2023,,2023-03-31
0001214659-23-007639,88418880,NVIDIA CORPORATION,COM,67066G104,,446792,1547,SH,,SOLE,,1547,0,0,nvidia corporation,Prostatis Group LLC,31-MAR-2023,,2023-03-31
0001398344-23-010041,90768471,NVIDIA CORPORATION,COM,67066G104,,2734923,9846,SH,,SOLE,,0,0,9846,nvidia corporation,"Westover Capital Advisors, LLC",31-MAR-2023,,2023-03-31
0000918504-23-000002,89385161,NVIDIA,COM,67066g104,,1159690,4175,SH,,SOLE,,4175,0,0,nvidia,BIRMINGHAM CAPITAL MANAGEMENT CO INC/AL,31-MAR-2023,,2023-03-31
0001600151-23-000003,84382132,NVIDIA CORP,COM,67066G104,,7239,26062,SH,,SOLE,,26062,0,26062,nvidia corp,"Arete Wealth Advisors, LLC",31-MAR-2023,,2023-03-31
0001847772-23-000002,88802052,NVIDIA CORP,COM,67066G104,,554,2000,SH,,SOLE,,0,0,554,nvidia corp,EMC Capital Management,31-MAR-2023,,2023-03-31
0001566601-23-000005,85558243,NVIDIA CORPORATION COM,Common Stock,67066G104,,2496,17079,SH,,SOLE,,0,0,0,nvidia corporation com,"FDx Advisors, Inc.",31-MAR-2023,,2023-03-31
0001911726-23-000002,90958594,NVIDIA CORPORATION,COM,67066G104,,120325,433,SH,,SOLE,,0,0,433,nvidia corporation,Raleigh Capital Management Inc.,31-MAR-2023,,2023-03-31
0001085146-23-002520,90549968,NVIDIA CORPORATION,COM,67066G104,,13692955,49296,SH,,SOLE,,0,0,49296,nvidia corporation,"LEVEL FOUR ADVISORY SERVICES, LLC",31-MAR-2023,,2023-03-31
0001398344-23-011544,92014684,NVIDIA CORPORATION,COM,67066G104,,347850,5784,SH,,SOLE,,4153,0,1631,nvidia corporation,"EP Wealth Advisors, LLC",31-MAR-2023,,2023-03-31
0001867731-23-000005,87260488,NVIDIA CORPORATION                 ,COM,67066G104,,495542,1784,SH,,SOLE,,0,0,1784,nvidia corporation                 ,SELDON CAPITAL LP,31-MAR-2023,,2023-03-31
0001140361-25-000829,108625484,NVIDIA CORPORATION,COM,67066G104,,1068581,3847,SH,,SOLE,4,0,0,3847,nvidia corporation,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2023,,2023-03-31
0001988563-24-000002,96520222,NVIDIA CORPORATION,COM,67066G104,,488679,1759,SH,,SOLE,,0,0,1759,nvidia corporation,"LJI Wealth Management, LLC",31-MAR-2023,,2023-03-31
0001769031-24-000002,97230508,NVIDIA CORPORATION,COM,67066G104,,1211633,4362,SH,,SOLE,,0,0,4362,nvidia corporation,"Van Leeuwen & Company, LLC",31-MAR-2023,,2023-03-31
