FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Accurate Wealth Management, LLC",,,,,,,,,,,,inf,-100.0,,,,,,,
Accuvest Global Advisors,,,,,,,,inf,303.57,-100.0,,,,,,,,,,
Activest Wealth Management,,,,,,,,,,,,,,inf,17.15,-100.0,,,inf,29.0
Addison Advisors LLC,,,,,,,,,,,inf,-100.0,,,,,inf,-100.0,,
"Adero Partners, LLC",,,,,,,,,,,,,,,,inf,29.77,14.25,-7.47,17.06
Advanced Asset Management Advisors Inc,,,,,,,,,,,,inf,-100.0,,,,,,,
Adviser Investments LLC,,46.0,-1.37,38.69,26.61,11.86,7.88,7.12,-16.35,-28.74,-12.76,155164.87,5.59,-100.0,inf,-100.0,,,,
"Advisor OS, LLC",,inf,58.8,52.93,-96.85,5304.35,5.87,40.12,-64.43,-30.49,-3.07,132650.0,13.92,11.48,-12.37,39.94,55.4,-9.09,-33.76,-24.12
Advisor Resource Council,,,,,,inf,-100.0,,,,,,,,,,,,,
"AdvisorNet Financial, Inc",,34.38,1.16,31.03,26.61,13.63,17.28,12.65,-9.38,-31.92,-16.46,128589.55,25.21,9.83,-87.59,36.81,30.14,38.95,-6.63,60.24
"Advisors Asset Management, Inc.",,46.91,41.26,76.02,59.99,8.84,25.5,30.67,-9.71,-23.81,-14.05,98752.72,-13.43,-33.89,-45.34,36.51,21.47,3.35,-25.92,-15.71
"Advisors Capital Management, LLC",,,,,,,,inf,0.45,-100.0,,,,inf,22.67,50.72,41.11,5.79,-9.98,87305.72
Advisory Resource Group,,,,,,,,inf,19.43,-100.0,,inf,19.61,1.33,-10.63,30.1,26.72,10.7,-0.88,5.04
"Advisory Services Network, LLC",,304.39,3.04,50.11,16.69,17.43,172.98,0.6,-47.11,-39.18,-31.98,111674.79,260.05,-100.0,inf,-45.14,43.48,69.78,0.0,-11.21
Ahrens Investment Partners LLC,,,,,,,,,inf,-100.0,,,,,,,,,,
"Aigen Investment Management, LP",,,,,,,,,inf,-100.0,inf,-100.0,inf,-90.48,-100.0,,,inf,-44.82,-100.0
"Akaris Global Partners, LP",,,,,,,,,inf,-100.0,,,,,,,,,,
Alaethes Wealth LLC,,,,,inf,27.84,7.69,16.95,-3.16,-23.1,-6.23,137126.98,27.56,7.56,-15.88,29.34,28.12,5.63,-15.0,16.15
Albar Capital Ltd,,-100.0,,,,inf,-100.0,,,inf,-100.0,inf,-100.0,,,,inf,-50.99,-100.0,
