REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"RFG Holdings, Inc.",604316
31-DEC-2024,"RFG Advisory, LLC",1003765
31-DEC-2024,"RFG - Bristol Wealth Advisors, LLC",847221
31-DEC-2024,"Purus Wealth Management, LLC",3134719
31-DEC-2024,Public Sector Pension Investment Board,33172678
31-DEC-2024,"RWQ Financial Management Services, Inc.",287480
31-DEC-2024,"Portfolio Design Labs, LLC",400782
31-DEC-2024,Prestige Wealth Management Group LLC,31889
31-DEC-2024,Prentice Wealth Management LLC,522779
31-DEC-2024,"Premier Path Wealth Partners, LLC",834864
31-DEC-2024,"Prasad Wealth Partners, LLC",310068
31-DEC-2024,"PrairieView Partners, LLC",36
31-DEC-2024,"Prairie Wealth Advisors, Inc.",529664
31-DEC-2024,"Portside Wealth Group, LLC",259771
31-DEC-2024,Portman Square Capital LLP,4336361
31-DEC-2024,Polymer Capital Management (HK) LTD,6921267
31-DEC-2024,Princeton Global Asset Management LLC,14132
31-DEC-2024,"Poehling Capital Management, INC.",290138
31-DEC-2024,Plato Investment Management Ltd,173963
31-DEC-2024,"Plante Moran Financial Advisors, LLC",44934
31-DEC-2024,"Plancorp, LLC",620136
31-DEC-2024,"Pinnacle Wealth Planning Services, Inc.",2037968
31-DEC-2024,"Pinnacle Wealth Management, LLC",1941095
31-DEC-2024,"Pinnacle Wealth Management Advisory Group, LLC",974534
31-DEC-2024,"Pinnacle Bancorp, Inc.",70783
31-DEC-2024,"Prime Capital Investment Advisors, LLC",21578003
31-DEC-2024,"Principal Street Partners, LLC",280112
31-DEC-2024,"Prudent Man Investment Management, Inc.",121
31-DEC-2024,Proem Advisors LLC,24158000
31-DEC-2024,Providence First Trust Co,483039
31-DEC-2024,"Providence Capital Advisors, LLC",2684816
31-DEC-2024,"Prosperity Wealth Management, Inc.",638134
31-DEC-2024,"Prosperity Financial Group, Inc.",1008355
31-DEC-2024,"Prosperity Consulting Group, LLC",814729
31-DEC-2024,Prospera Financial Services Inc,10570744
31-DEC-2024,"Promus Capital, LLC",73923
31-DEC-2024,Proficio Capital Partners LLC,1178886
31-DEC-2024,"Procyon Advisors, LLC",535951
31-DEC-2024,Principle Wealth Partners LLC,380942
31-DEC-2024,Proactive Wealth Strategies LLC,615
31-DEC-2024,ProShare Advisors LLC,288055523
31-DEC-2024,"Private Wealth Partners, LLC",13256461
31-DEC-2024,"Private Wealth Management Group, LLC",47954
31-DEC-2024,Private Portfolio Partners LLC,818473
31-DEC-2024,"Private Capital Advisors, Inc.",2182132
31-DEC-2024,Private Advisory Group LLC,8893574
31-DEC-2024,"Private Advisor Group, LLC",16069581
31-DEC-2024,"RWA WEALTH PARTNERS, LLC",1155535
31-DEC-2024,Raab & Moskowitz Asset Management LLC,1818856
31-DEC-2024,"SIGNATUREFD, LLC",3408814
31-DEC-2024,"SAGESPRING WEALTH PARTNERS, LLC",2076193
31-DEC-2024,SCHRODER INVESTMENT MANAGEMENT GROUP,183473367
31-DEC-2024,"SCHOLTZ & COMPANY, LLC",1834196
31-DEC-2024,SCHNIEDERS CAPITAL MANAGEMENT LLC,1479678
31-DEC-2024,SCHAPER BENZ & WISE INVESTMENT COUNSEL INC/WI,16849963
31-DEC-2024,"SAX WEALTH ADVISORS, LLC",513961
31-DEC-2024,SATURNA CAPITAL CORP,145796550
31-DEC-2024,SANDERS MORRIS HARRIS LLC,5820900
31-DEC-2024,SALEM INVESTMENT COUNSELORS INC,20971923
31-DEC-2024,SAGE RHINO CAPITAL LLC,265980
31-DEC-2024,"SECURED RETIREMENT ADVISORS, LLC",1887223
31-DEC-2024,S.A. Mason LLC,79601
31-DEC-2024,Rye Brook Capital LLC,1564
31-DEC-2024,"Runnymede Capital Advisors, Inc.",250277
31-DEC-2024,"Ruedi Wealth Management, Inc.",2778
31-DEC-2024,"Royal Fund Management, LLC",6252574
31-DEC-2024,Royal Bank of Canada,207076000
31-DEC-2024,Roxbury Financial LLC,199864
31-DEC-2024,Roundview Capital LLC,624122
31-DEC-2024,SEAMOUNT FINANCIAL GROUP INC,358746
31-DEC-2024,"SECURIAN ASSET MANAGEMENT, INC",10535062
31-DEC-2024,Rosenberg Matthew Hamilton,231554
31-DEC-2024,SHELL ASSET MANAGEMENT CO,6218
31-DEC-2024,SIGNATURE ESTATE & INVESTMENT ADVISORS LLC,203048
31-DEC-2024,SIERRA SUMMIT ADVISORS LLC,1190386
31-DEC-2024,"SIERRA OCEAN, LLC",54476
31-DEC-2024,SHUFRO ROSE & CO LLC,253659
31-DEC-2024,SHIKIAR ASSET MANAGEMENT INC,8007
31-DEC-2024,SHERBROOKE PARK ADVISERS LLC,857609
31-DEC-2024,"SHELTON WEALTH MANAGEMENT, LLC",2330281
31-DEC-2024,SHELTON CAPITAL MANAGEMENT,28912294
31-DEC-2024,SHEETS SMITH WEALTH MANAGEMENT,627866
31-DEC-2024,SEEDS INVESTOR LLC,565062
31-DEC-2024,SHARPEPOINT LLC,2861274
31-DEC-2024,"SGL Investment Advisors, Inc.",624738
31-DEC-2024,"SG Americas Securities, LLC",26532
31-DEC-2024,"SFMG, LLC",6600262
31-DEC-2024,SFE Investment Counsel,2687940
31-DEC-2024,SEVEN MILE ADVISORY,217784
31-DEC-2024,SENTRY INVESTMENT MANAGEMENT LLC,809
31-DEC-2024,SEI INVESTMENTS CO,185121076
31-DEC-2024,Roth Financial Partners LLC,241580
31-DEC-2024,"Rooted Wealth Advisors, Inc.",295
31-DEC-2024,"Rafferty Asset Management, LLC",571004286
31-DEC-2024,Red Wave Investments LLC,357659
31-DEC-2024,Relyea Zuckerberg Hanson LLC,490891
31-DEC-2024,"Reliant Investment Management, LLC",4592677
31-DEC-2024,Rehmann Capital Advisory Group,981642
31-DEC-2024,Register Financial Advisors LLC,347150
31-DEC-2024,Regent Peak Wealth Advisors LLC,1026474
31-DEC-2024,Regal Investment Advisors LLC,779428
31-DEC-2024,"Redwood Wealth Management Group, LLC",640331
31-DEC-2024,Redwood Park Advisors LLC,3866
31-DEC-2024,"Red Spruce Capital, LLC",270570
31-DEC-2024,"Resonant Capital Advisors, LLC",612647
31-DEC-2024,"Red Door Wealth Management, LLC",240010
31-DEC-2024,Realta Investment Advisors,551001
31-DEC-2024,Rathbones Group PLC,2176636
31-DEC-2024,"Rappaport Reiches Capital Management, LLC",224307
31-DEC-2024,Ranch Capital Advisors Inc.,920946
31-DEC-2024,"Ramsay, Stattman, Vela & Price, Inc.",658789
31-DEC-2024,"Ramirez Asset Management, Inc.",886236
31-DEC-2024,Raleigh Capital Management Inc.,109073
31-DEC-2024,"Resolute Wealth Strategies, LLC",295332
31-DEC-2024,"Retirement Planning Group, LLC",465426
31-DEC-2024,"Root Financial Partners, LLC",600206
31-DEC-2024,"Ring Mountain Capital, LLC",1022246
31-DEC-2024,Robocap Asset Management Ltd,7491637
31-DEC-2024,"Roble, Belko & Company, Inc",479
31-DEC-2024,"Robertson Stephens Wealth Management, LLC",1162483
31-DEC-2024,Riverview Trust Co,120428
31-DEC-2024,"Riverbend Wealth Management, LLC",505141
31-DEC-2024,River Wealth Advisors LLC,3576109
31-DEC-2024,Ritter Daniher Financial Advisory LLC / DE,22709
31-DEC-2024,"Rise Advisors, LLC",104483
31-DEC-2024,Ridgewood Investments LLC,34788
31-DEC-2024,Retirement Systems of Alabama,42439808
31-DEC-2024,Richardson Capital Management LLC,68971
31-DEC-2024,"Richard W. Paul & Associates, LLC",987760
31-DEC-2024,Richard Bernstein Advisors LLC,4043928
31-DEC-2024,"Rialto Wealth Management, LLC",126830
31-DEC-2024,"Reynders McVeigh Capital Management, LLC",8489
31-DEC-2024,"Reyes Financial Architecture, Inc.",184567
31-DEC-2024,"Revolve Wealth Partners, LLC",1000504
31-DEC-2024,Retirement Wealth Solutions LLC,31563
31-DEC-2024,"THOMPSON INVESTMENT MANAGEMENT, INC.",33821
31-DEC-2024,THORNBURG INVESTMENT MANAGEMENT INC,22567679
31-DEC-2024,"THOROUGHBRED FINANCIAL SERVICES, LLC",3803
31-DEC-2024,"Worth Financial Advisory Group, LLC",203652
31-DEC-2024,"YOUSIF CAPITAL MANAGEMENT, LLC",23914246
31-DEC-2024,Y-Intercept (Hong Kong) Ltd,9556422
31-DEC-2024,"Xcel Wealth Management, LLC",1692509
31-DEC-2024,"XY Planning Network, Inc.",451030
31-DEC-2024,"XPONANCE, INC.",40161225
31-DEC-2024,XN LP,25444655
31-DEC-2024,"XML Financial, LLC",1346277
31-DEC-2024,"X-Square Capital, LLC",4412
31-DEC-2024,World Investment Advisors,8496370
31-DEC-2024,ZACKS INVESTMENT MANAGEMENT,20512898
31-DEC-2024,Woodline Partners LP,56025905
31-DEC-2024,Wiser Advisor Group LLC,8697
31-DEC-2024,"Winthrop Capital Management, LLC",6
31-DEC-2024,Winthrop Advisory Group LLC,285789
31-DEC-2024,"Wingate Wealth Advisors, Inc.",23433
31-DEC-2024,"Winch Advisory Services, LLC",287118
31-DEC-2024,"Wilmington Savings Fund Society, FSB",180943
31-DEC-2024,Wilmar Advisors LLC,2898960
31-DEC-2024,"Yarbrough Capital, LLC",1795423
31-DEC-2024,"ZEGA Investments, LLC",278355
31-DEC-2024,"Williams Jones Wealth Management, LLC.",1677773
31-DEC-2024,"Generali Investments, Management Co LLC",1647092
31-DEC-2024,Garden State Investment Advisory Services LLC,2382583
31-DEC-2024,Garner Asset Management Corp,1053
31-DEC-2024,Geller Advisors LLC,594770
31-DEC-2024,Gen-Wealth Partners Inc,3624
31-DEC-2024,Geneos Wealth Management Inc.,1545750
31-DEC-2024,"General Partner, Inc.",230226
31-DEC-2024,"Generali Investments CEE, investicni spolecnost, a.s.",8957786
31-DEC-2024,Generali Investments Towarzystwo Funduszy Inwestycyjnych,3422222
31-DEC-2024,"Genesee Capital Advisors, LLC",1034204
31-DEC-2024,ZEVENBERGEN CAPITAL INVESTMENTS LLC,67521610
31-DEC-2024,waypoint wealth counsel,171281
31-DEC-2024,iA Global Asset Management Inc.,21128
31-DEC-2024,"bLong Financial, LLC",1924191
31-DEC-2024,Zweig-DiMenna Associates LLC,14596988
31-DEC-2024,Zurcher Kantonalbank (Zurich Cantonalbank),72124192
31-DEC-2024,"Zullo Investment Group, Inc.",1350070
31-DEC-2024,"Zions Bancorporation, N.A.",289775
31-DEC-2024,ZWJ INVESTMENT COUNSEL INC,305840
31-DEC-2024,"Willis Johnson & Associates, Inc.",321896
31-DEC-2024,"White Knight Strategic Wealth Advisors, LLC",919695
31-DEC-2024,"Game Plan Financial Advisors, LLC",749806
31-DEC-2024,"Wealth Architects, LLC",1852073
31-DEC-2024,Wealthcare Advisory Partners LLC,2144143
31-DEC-2024,WealthTrust Axiom LLC,282407
31-DEC-2024,"WealthShield Partners, LLC",3116020
31-DEC-2024,"WealthPLAN Partners, LLC",832485
31-DEC-2024,"WealthCollab, LLC",740322
31-DEC-2024,Wealth Quarterback LLC,911494
31-DEC-2024,"Wealth Management Partners, LLC",1249210
31-DEC-2024,"Wealth Group, Ltd.",369
31-DEC-2024,"Wealth Alliance Advisory Group, LLC",1212007
31-DEC-2024,"Wealthspire Advisors, LLC",1334045
31-DEC-2024,"Wealth Advisory Solutions, LLC",1002678
31-DEC-2024,"Wayfinding Financial, LLC",448
31-DEC-2024,Waverton Investment Management Ltd,184446960
31-DEC-2024,"Waverly Advisors, LLC",3656841
31-DEC-2024,"Watts Gwilliam & Co., LLC",2454838
31-DEC-2024,"Waterway Wealth Management, LLC",314054
31-DEC-2024,"Waterloo Capital, L.P.",448856
31-DEC-2024,Washington Trust Bank,16565624
31-DEC-2024,Wealthfront Advisers LLC,1099671
31-DEC-2024,Weaver Capital Management LLC,306807
