ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001054646-22-000005,74192318,AMAZON COM INC,COM,023135106,,1546,14560,SH,,SOLE,,14560,0,0,amazon com inc,CAPE COD FIVE CENTS SAVINGS BANK,30-SEP-2022,,2022-09-30
0001493152-22-031808,73840674,AMAZON COM INC,COM,023135106,,5893,52150,SH,,SOLE,,52150,0,0,amazon com inc,"DIFESA CAPITAL MANAGEMENT, LP",30-SEP-2022,,2022-09-30
0001445911-22-000006,73316333,Amazon.com Inc,COM,023135106,,16015,141728,SH,,SOLE,,141728,0,0,amazon.com inc,"Quantitative Investment Management, LLC",30-SEP-2022,,2022-09-30
0001286478-22-000006,73719948,AMAZON.COM INC,COMMON STOCK,023135106,,1477,13070,SH,,SOLE,,13070,0,0,amazon.com inc,UNITED BANK,30-SEP-2022,,2022-09-30
0001802882-22-000004,73269899,AMAZON COM INC,COM,023135106,,4524,40039,SH,,SOLE,,0,0,40039,amazon com inc,"HARRELL INVESTMENT PARTNERS, LLC",30-SEP-2022,,2022-09-30
0001951757-22-000022,74201316,AMAZON COM INC,COM,023135106,,903,7995,SH,,SOLE,,0,0,7995,amazon com inc,"G2 CAPITAL MANAGEMENT, LLC / OH",30-SEP-2022,,2022-09-30
0001511847-22-000005,73912244,AMAZON COM INC,COM,023135106,,1130,10000,SH,,SOLE,,10000,0,0,amazon com inc,Lumina Fund Management LLC,30-SEP-2022,,2022-09-30
0001398344-22-022048,73593600,AMAZON COM INC,COM,023135106,,3213,28438,SH,,SOLE,,1600,0,26838,amazon com inc,"ELCO Management Co., LLC",30-SEP-2022,,2022-09-30
0000354497-22-000012,74191663,AMAZON COM INC COM,COMMON,023135106,,14353,127016,SH,,SOLE,,0,0,127016,amazon com inc com,PFS INVESTMENTS INC.,30-SEP-2022,,2022-09-30
0001162827-22-000005,73223937,AMAZON.COM INC,com,023135106,,219,1940,SH,,SOLE,0,0,0,0,amazon.com inc,RBO & CO LLC,30-SEP-2022,,2022-09-30
0001802882-22-000005,73918228,AMAZON COM INC,COM,023135106,,956,8460,SH,,SOLE,,8460,0,0,amazon com inc,Eagle Bluffs Wealth Management LLC,30-SEP-2022,,2022-09-30
0001512404-22-000008,74407728,AMAZON COM INC,COM,023135106,,3679,32557,SH,,SOLE,,0,0,32557,amazon com inc,"Gateway Advisory, LLC",30-SEP-2022,,2022-09-30
