FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
ANTIPODES PARTNERS Ltd,,,,,,,,,,,,,,,,,,,,inf
"AO Asset Management, LP",,-16.75,-9.36,-41.91,7.2,123.15,55.34,-53.29,-100.0,inf,-100.0,,,,,,,,,
APPALOOSA LP,,39.75,17.39,11.31,-33.35,-100.0,,,,inf,-17.2,145443.36,45.65,-100.0,,,,,,
APPLETON PARTNERS INC/MA,,17.15,32.87,-10.4,-11.6,-2.1,13.67,-3.77,17.4,-25.26,-18.99,39.66,43.95,4.46,-4.27,26.42,9.09,-16.17,2.52,13.02
"ARBOR TRUST WEALTH ADVISORS, LLC",,19.66,33.8,-9.47,0.0,14.5,9.82,-6.23,-18.8,-17.65,-15.44,89398.26,49.9,12.52,-3.12,31.65,17.55,-13.58,0.0,38.29
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,27.78,34.78,-87.1,0.0,275.0,913.33,-6.58,-16.2,-22.69,-15.22,174647.44,112.53,17.2,-4.01,-10.61,37.31,-46.78,9.93,22.15
ARDSLEY ADVISORY PARTNERS LP,,,inf,-100.0,,,inf,-25.0,234.02,-56.76,-51.06,126220.17,31.98,-100.0,inf,34.23,121.3,-33.43,260.09,137.92
"ARGI Investment Services, LLC",,,,,,,inf,-14.29,-100.0,,,,,,,,,,,
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",,,,,,,,,,,,inf,50.68,4.78,11.25,29.77,15.04,-14.2,8.13,21.81
"ARGUS INVESTORS' COUNSEL, INC.",,59.67,44.96,-10.07,-100.0,,,,,,,,,,,inf,-42.07,100.35,-42.78,20.81
ARK Investment Management LLC,,26.06,44.94,173.39,-100.0,,,inf,-100.0,,,,,,,,,,,
"ARMISTICE CAPITAL, LLC",,,,,,,inf,99.11,-100.0,,,,,,,,,,,
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,77.81,40.99,-25.98,100.35,0.0,23.87,-20.46,57.48
ARROW FINANCIAL CORP,,18.77,26.7,-100.0,,inf,27.78,2.17,-9.57,-34.12,-16.07,138.3,-100.0,,,,,,,
"ARS Investment Partners, LLC",,,,,,,,,,,,,,,,,,,inf,24.08
"ARS Wealth Advisors Group, LLC",,,,,,,inf,-7.43,-20.19,-25.08,57.06,32135.34,21.5,-14.38,1.7,10.54,10.54,-20.64,6.15,22.81
"ARS Wealth Advisors, LLC",,32.66,34.99,-5.92,130.1,50.18,-100.0,,,,,,,,,,,,,
"ARTHUR M. COHEN & ASSOCIATES, LLC",,104.14,52.61,-9.31,-2.07,13.63,10.42,-9.39,-22.74,-29.25,-40.13,90884.2,48.7,8.33,-3.75,34.69,35.14,-11.48,7.01,23.4
"ARVEST INVESTMENTS, INC.",,,,,,,,,,,,,,,,inf,10.49,0.34,25.34,25.2
ARVEST TRUST CO N A,,,,,,,,inf,-22.43,-25.44,-100.0,,inf,24.7,-21.23,40.2,16.87,-24.15,-100.0,
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",,3.47,3658.87,-10.62,-16.26,8.26,1.28,-7.86,-15.4,-61.32,-16.35,73223.01,46.71,-5.66,100216.23,-99.93,-5.58,-38.29,31.39,13.27
"ASB Consultores, LLC",,,,,,,,inf,6.06,-50.41,-15.23,-100.0,inf,-100.0,,inf,345.78,-52.66,6.29,-100.0
"ASHTON THOMAS SECURITIES, LLC",,,,,,,,,,,,,,,,,,inf,20.37,31.0
"ASPIRIANT, LLC",,40.05,36.27,-0.45,-10.4,-11.26,14.71,17.83,-14.81,-17.0,-13.09,93631.03,44.67,2.48,-28.55,47.26,14.25,-33.24,-17.97,27.19
ASSET MANAGEMENT CORP /IL/ /ADV,,27.51,31.09,73.63,56.07,-2.68,-17.72,120.15,6.85,-25.52,-41.06,60131.04,34.3,-100.0,,,,,,
