ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001085146-24-000785,96845169,TESLA INC,COM,88160R101,,300662,1210,SH,,SOLE,,0,0,1210,tesla inc,Petix & Botte Co,31-DEC-2023,,2023-12-31
0001085146-24-000787,97374455,TESLA INC,COM,88160R101,BBG001SQKGD7,321533,1294,SH,,SOLE,,0,0,1294,tesla inc,STEVENS CAPITAL PARTNERS,31-DEC-2023,,2023-12-31
0001085146-24-000789,97336919,TESLA INC,COM,88160R101,BBG001SQKGD7,3765932590,15155878,SH,,SOLE,,15155878,0,0,tesla inc,CHARLES SCHWAB INVESTMENT MANAGEMENT INC,31-DEC-2023,,2023-12-31
0001085146-24-000790,96960924,TESLA INC,COM,88160R101,BBG001SQKGD7,1073158,4319,SH,,SOLE,,4319,0,0,tesla inc,"Charles Schwab Investment Advisory, Inc.",31-DEC-2023,,2023-12-31
0001646247-24-000001,97197646,TESLA INC,COM,88160R101,,7159257,28812,SH,,SOLE,,0,0,28812,tesla inc,"Wealthspire Advisors, LLC",31-DEC-2023,,2023-12-31
0001803081-24-000001,97024292,TESLA INC,COM,88160R101,,301158,1212,SH,,SOLE,,0,0,0,tesla inc,"Moser Wealth Advisors, LLC",31-DEC-2023,,2023-12-31
0001663224-24-000001,96878579,TESLA INC,COM,88160R101,,840111,3381,SH,,SOLE,,0,0,3381,tesla inc,"Darwin Wealth Management, LLC",31-DEC-2023,,2023-12-31
0001878326-24-000001,97257895,TESLA INC,COM,88160R101,,1491,6,SH,,SOLE,,0,0,6,tesla inc,"Delos Wealth Advisors, LLC",31-DEC-2023,,2023-12-31
0001587192-24-000001,96892704,TESLA INC,COM,88160R101,,127968,515,SH,,SOLE,,450,0,65,tesla inc,"Blume Capital Management, Inc.",31-DEC-2023,,2023-12-31
0001927537-24-000001,97274890,TESLA INC,COM,88160R101,,1733893,6978,SH,,SOLE,0,0,0,6978,tesla inc,CATALYST FINANCIAL PARTNERS LLC,31-DEC-2023,,2023-12-31
0001172661-24-000516,96935232,TESLA INC,COM,88160R101,,1102257,4436,SH,,SOLE,,0,0,4436,tesla inc,Fortune 45 LLC,31-DEC-2023,,2023-12-31
0001172661-24-000517,97344863,TESLA INC,COM,88160R101,,1115427,4489,SH,,SOLE,,0,0,4489,tesla inc,"HOWARD WEALTH MANAGEMENT, LLC",31-DEC-2023,,2023-12-31
0001085146-24-000852,97031090,TESLA INC,COM,88160R101,BBG001SQKGD7,787122,3168,SH,,SOLE,,3168,0,0,tesla inc,"RBA Wealth Management, LLC",31-DEC-2023,,2023-12-31
0001963732-24-000002,97285895,TESLA INC,COM,88160R101,,551,2976,SH,,SOLE,0,0,0,2976,tesla inc,"Rooted Wealth Advisors, Inc.",31-DEC-2023,,2023-12-31
0001427514-24-000001,96960554,TESLA INC,COM,88160R101,,976526,3930,SH,,SOLE,,3589,0,341,tesla inc,"Dana Investment Advisors, Inc.",31-DEC-2023,,2023-12-31
0001512404-24-000001,97048789,TESLA INC,COM,88160R101,,408998,1646,SH,,SOLE,,0,0,1646,tesla inc,"Gateway Advisory, LLC",31-DEC-2023,,2023-12-31
0001104659-24-011582,97343266,TESLA INC,COM,88160R101,,422913,1702,SH,,SOLE,,0,0,1702,tesla inc,"Acorn Wealth Advisors, LLC",31-DEC-2023,,2023-12-31
0001987321-24-000001,96980875,TESLA INC,COM,88160R101,,486772,1959,SH,,SOLE,,1959,0,0,tesla inc,Arcataur Capital Management LLC,31-DEC-2023,,2023-12-31
0001062993-24-002264,97191447,TESLA INC,COM,88160R101,,1865091,7506,SH,,SOLE,,7506,0,0,tesla inc,Rossmore Private Capital,31-DEC-2023,,2023-12-31
0000796848-24-000005,97371083,TESLA INC,COM,88160R101,BBG000N9MNX3,152046,611904,SH,,SOLE,,611904,0,0,tesla inc,TEACHER RETIREMENT SYSTEM OF TEXAS,31-DEC-2023,,2023-12-31
0001398344-24-002270,96933091,TESLA INC,COM,88160R101,,279540,1125,SH,,SOLE,,0,0,1125,tesla inc,PECAUT & CO.,31-DEC-2023,,2023-12-31
