FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
AMF Pensionsforsakring AB,,4.67,-17.6,-100.0,,,,,,,,,,,,,,,,
AMF Tjanstepension AB,,,,,,,,,,inf,-7.84,45388.4,-3.88,1015.38,-41.84,173.34,-17.2,3.91,167.88,-46.8
AMG National Trust Bank,,inf,27.17,119.4,-56.01,10.16,2.88,11.73,-1.86,-20.1,-1.04,71981.94,25.33,16.7,-13.96,10.85,-10.83,61.6,-5.97,6.65
AMI ASSET MANAGEMENT CORP,,29.15,15.02,12.44,-15.97,6.82,-8.58,23.4,-2.43,-23.32,-2.25,-6.12,126059.89,16.35,-21.82,12.76,-8.76,20.85,7.32,5.66
AMI INVESTMENT MANAGEMENT INC,,,,,,,inf,25.95,106.49,-57.15,-6.1,91291.35,154.25,-41.18,-17.84,9.09,-14.23,21.51,6.84,6.96
AMICA MUTUAL INSURANCE CO,,43.46,22.3,14.58,-23.95,10.22,3.31,25.49,-6.06,-23.87,-5.87,-12.12,26.91,8.22,-11.73,12.45,71.96,-38.59,8.3,1.77
AMJ Financial Wealth Management,,69.76,28.61,26.28,-7.86,20.99,3.41,-11.76,359.42,-88.4,23.09,90873.87,30.94,36.78,-5.61,10.44,-14.5,24.18,4.26,5.98
AMP Capital Investors Ltd,,,,,inf,-100.0,,,,,,,,,,,,,,
AMS Capital Ltda,,,,,,,,,,,,,,,,,inf,-3.35,-100.0,
AMUNDI,,,,,,,,,,,,,,,,,,inf,-100.0,
"AMUNDI ASSET MANAGEMENT US, INC.",,,,,inf,-100.0,,,,,,,,,,,,,,
AMUNDI PIONEER ASSET MANAGEMENT INC,,39.38,2.97,96.96,-100.0,,,,,,,,,,,,,,,
AMUSSEN HUNSAKER ASSOCIATES LLC,,49.86,132.0,-38.95,2.19,18.67,112.39,31.6,-51.1,-19.34,3.72,93970.91,25.29,17.31,-13.45,11.32,-100.0,,,
ANCHOR CAPITAL ADVISORS LLC,,20.97,-11.67,26.49,1.6,12.15,0.01,21.72,-3.24,-33.28,-6.08,88083.0,5.61,-13.8,-32.71,10.67,-66.4,22.25,11.01,8.65
ANDERSON FISHER LLC,,48.5,38.47,13.39,-100.0,,,,,,,,,,,,,,,
ANDERSON HOAGLAND & CO,,49.9,259.63,-36.72,-4.06,12.82,2.26,19.07,7.22,-16.18,-4.91,97872.43,21.88,17.55,-8.44,-6.87,-9.42,36.25,-1.15,-8.27
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,inf,-23.08,-0.23,94253.57,26.67,18.33,-2.0,9.25,-3.15,37.45,17.38,9.85
"ANGLEPOINT ASSET MANAGEMENT, LTD.",,-100.0,,,,,,,,,,,,,,,,,,
"AO Asset Management, LP",,inf,-100.0,,,,,,,,,,,,,,,,,
APCM Wealth Management for Individuals,,40.78,28.9,13.59,-6.7,-82.62,2.98,36.34,0.26,-7.05,30.88,-100.0,,,,,,,,
APPALOOSA LP,,,,,,,,,,,,,,inf,-100.0,,,,,
"APPLETON GROUP, LLC",,,,,,,,inf,-6.41,-100.0,,,inf,-100.0,,,,,,
APPLETON PARTNERS INC/MA,,33.09,24.61,12.85,-10.14,9.59,2.12,24.43,-4.14,-21.56,-1.39,-6.46,25.01,16.76,-13.81,8.32,-16.73,19.72,8.02,2.11
"APPLIED RESEARCH INVESTMENTS, LLC",,,inf,41.06,-3.26,12.11,-0.81,35.78,-83.92,-35.45,-74.75,-100.0,,,,,,,,
AR ASSET MANAGEMENT INC,,41.43,25.49,14.56,-7.99,12.12,2.24,25.09,-1.67,-21.68,1.08,-5.99,22.67,9.44,-11.83,12.24,-11.13,19.51,7.98,6.54
ARBOR CAPITAL MANAGEMENT INC /ADV,,,,,,,,inf,-21.92,-20.47,7.86,79015.66,23.41,18.72,-19.64,5.2,-7.4,15.01,-1.77,-11.72
"ARBOR TRUST WEALTH ADVISORS, LLC",,37.15,20.05,12.17,-11.04,6.92,0.76,26.03,3.93,-31.95,-3.77,92844.72,39.26,2.24,-13.16,10.73,-15.71,25.61,0.0,19.63
ARCADIA INVESTMENT ADVISORS LLC,,,,,,,,,,,,,inf,57.62,-34.13,-100.0,,,,
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,43.07,24.24,5.61,-12.37,6.96,0.54,22.46,-6.7,-22.89,-3.13,98420.64,19.08,16.43,-13.46,11.52,-12.87,21.29,11.89,7.74
ARDSLEY ADVISORY PARTNERS LP,,,,,inf,-100.0,,,,inf,-80.12,-100.0,,,,,inf,15.44,23.32,-100.0
ARGENT CAPITAL MANAGEMENT LLC,,28.85,23.96,8.12,-10.25,10.36,2.42,24.55,-2.77,-39.74,0.33,93323.71,24.0,17.43,-15.62,10.79,-13.21,21.63,9.24,5.21
"ARGI Investment Services, LLC",,47.51,19.14,121.79,-50.31,19.18,5.15,28.68,-0.68,-11.24,4.06,5.25,-100.0,,,,,,,
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",,,,,,,,,,,,inf,17.86,16.63,-11.71,3.48,-0.39,22.94,10.93,6.17
"ARGUS INVESTORS' COUNSEL, INC.",,37.9,37.03,-4.7,-9.39,3.79,-36.89,19.91,2.54,-19.0,-7.4,95024.92,26.52,18.62,-11.5,129.0,-55.23,94.62,-37.6,3.79
ARK Investment Management LLC,,70.29,-29.57,355.92,-40.23,-100.0,,inf,-8.16,-18.89,-100.0,,,,,,,,inf,216.08
"ARKANSAS FINANCIAL GROUP, INC.",,inf,23.44,78.29,-7.83,12.03,23.79,2.72,-1.66,-21.72,-7.74,79634.27,25.32,76.04,6.42,12.93,-10.93,21.91,62.38,1.24
"ARMOR ADVISORS, L.L.C.",,,,,,,,,,inf,-100.0,inf,-100.0,,,,,,,
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,22.95,15.85,-19.79,14.03,0.0,2.61,4.44,6.33
ARMSTRONG HENRY H ASSOCIATES INC,,,,,,,,,,,,,inf,18.59,-11.72,12.06,-11.43,116.01,-41.44,6.37
ARP AMERICAS LP,,inf,-100.0,,,,,,,,,,,,,,,,,
"ARQ WEALTH ADVISORS, LLC",,32.13,8.59,17.0,-9.93,19.81,-2.93,26.51,-1.52,20.84,6.02,95234.17,11.58,44.45,-16.92,18.37,136.61,3.5,9.32,20.85
"ARRIEN INVESTMENTS, INC.",,,,,,,,,,,,,,,,,,,,inf
