FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
AVALON CAPITAL MANAGEMENT,,,,,,,,,,,,,,,,inf,64.83,5.63,52.51,1.1
"AVANTAX ADVISORY SERVICES, INC.",,inf,695.5,-100.0,,inf,-82.25,30595.12,-33.4,-23.14,-14.98,82620.07,66.52,38.34,15.17,28.1,51.8,110.27,27.31,9.56
AVISO WEALTH MANAGEMENT,,,,,,,,,,,,,,,,inf,40.52,3.02,11.97,5.0
AVITY INVESTMENT MANAGEMENT INC.,,,,,,,,inf,-36.79,-24.86,1.15,-7.07,170196.0,9.74,-11.52,20.79,29.38,-0.75,10.01,1.06
AVIVA PLC,,,,,,,,inf,-100.0,,,,,,,,,,,
"AWM CAPITAL, LLC",,,,,,,,,,,,,,,,,,inf,5.19,7.46
"AWM Investment Company, Inc.",,72.11,-34.9,30.83,-89.9,-26.22,-30.72,-40.87,23.53,-46.43,-6.67,-100.0,,,inf,-32.74,41.58,-100.0,,
AXIOM INVESTORS LLC /DE,,,,,,,,,,,,,,,inf,23609.55,91.94,13.26,21.81,22.6
"AXQ CAPITAL, LP",,,,,,,,,,,,inf,-22.04,-72.46,794.99,-32.24,-37.22,-54.65,-100.0,inf
AXS Investments LLC,,,,,,,,inf,-31.53,-49.4,-7.94,113868.28,6.12,14.95,-7.22,17.55,47.79,-42.62,-5.17,4.1
"AXXCESS WEALTH MANAGEMENT, LLC",,,,,,,,inf,-28.26,-27.48,-1.12,72930.71,-0.73,42.16,139.66,22.46,28.73,61.33,18.19,4.82
AZZAD ASSET MANAGEMENT INC /ADV,,,,,,,,inf,-100.0,inf,-5.76,-68.01,60.68,58.78,4.86,17.58,37.59,4.2,12.63,101.76
Aaron Wealth Advisors,,,,inf,-76.77,-100.0,,,,,,,,,,,,,,
Aaron Wealth Advisors LLC,,,,,,inf,-21.78,282.56,833.21,-93.32,-63.85,745031.91,34.42,1.03,-1.73,-50.48,67.54,17.28,38.73,7.05
