FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
Addison Capital Co,,,,,,,,,inf,-25.48,-20.23,2.5,17.07,2.08,-100.0,,,,,
"Adero Partners, LLC",,,,,,,,,,,,,,inf,-8.17,32.13,22.74,-7.14,2.91,-26.28
Advanced Asset Management Advisors Inc,,,,,,,,,,,,inf,-100.0,,,,,,,
"Advanced Portfolio Management, LLC",,,,,,,,,,,,,,,,,inf,230.26,-85.25,-100.0
"Advisor OS, LLC",,,,,,,,inf,-100.0,,,,,inf,-0.98,189.67,10.7,-12.9,8.57,-47.65
Advisor Resource Council,,,,,,inf,-75.56,116.22,-48.56,2.82,15.11,106473.36,-18.56,-100.0,,inf,-65.64,-100.0,inf,-100.0
"AdvisorNet Financial, Inc",,30.58,34.2,13.57,19.76,46.23,-0.56,40.06,16.8,-25.26,-11.91,37060.6,70.36,15.45,-2.27,45.81,35.27,-8.23,20.08,-12.9
AdvisorShares Investments LLC,,,inf,31.95,-7.04,-100.0,inf,41.04,-69.89,-100.0,,,,,,,,,,
"Advisors Asset Management, Inc.",,5.71,24.36,14.45,-7.79,56.0,23.78,45.7,-20.47,-37.1,-30.38,91948.65,43.22,0.25,-17.68,6.37,-6.06,-26.01,-13.06,-22.64
"Advisors Capital Management, LLC",,,,inf,-100.0,,inf,26.96,-1.6,-36.89,1809.56,-16.63,54.11,-5.47,-100.0,inf,21.58,-15.16,3.6,74231.99
"Advisory Alpha, LLC",,,inf,-100.0,,,,inf,32.32,-26.72,-7.64,101778.95,59.28,174.04,-38.94,-11.89,23.32,-3.39,11.19,-19.25
Advisory Resource Group,,,,,,,,inf,10.0,-9.09,14.17,135050.36,28.45,-2.93,11.42,31.56,7.9,-1.7,20.69,-9.83
"Advisory Services Network, LLC",,18.92,187.83,3.05,-48.04,18.39,79.22,27.01,-45.44,-3.34,-29.42,91026.56,63.54,-100.0,inf,36.67,36.68,-10.89,0.0,-15.01
"Affiance Financial, LLC",,,,,,,,,,,,inf,-100.0,,,,,,,
