FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
ATRIA INVESTMENTS LLC,,224.98,-16.45,3.18,5.29,49.24,5.58,22.1,-7.81,-49.76,-25.39,-100.0,,,,,,,,
"ATTICUS WEALTH MANAGEMENT, LLC",,44.1,-10.34,25.96,-17.94,175.81,32.88,-31.6,-0.37,-46.55,0.0,61996.52,41.14,72.3,84.97,-42.26,137.32,43.76,24.87,10.76
ATWOOD & PALMER INC,,43.4,6.58,48.15,2.5,175.61,107.08,-28.92,-7.21,-40.17,-54.15,120494.49,96.0,50.46,2.83,28.45,67.31,48.73,-3.42,9.65
AUGUSTINE ASSET MANAGEMENT INC,,11.26,29.4,-4.1,-33.79,-21.11,17.1,2.22,-23.91,-100.0,,,inf,51.15,5.7,13.73,80.16,37.31,-0.15,21.43
AUXIER ASSET MANAGEMENT,,,,,,,,,,,,,,,,,inf,36.73,-19.08,15.69
"AVAII WEALTH MANAGEMENT, LLC",,,,,,,,inf,32.14,-44.76,-100.0,inf,-100.0,,,,,,,
AVALON CAPITAL MANAGEMENT,,,,,,,,,,,,,,,,inf,34.8,47.03,8.44,18.95
"AVANTAX ADVISORY SERVICES, INC.",,169.46,267.68,-58.24,14.22,66.63,10.76,46.96,-5.57,-38.84,-15.4,122130.39,103.2,50.41,-0.63,15.06,59.77,97.83,1.76,13.48
AVISO WEALTH MANAGEMENT,,,,,,,,,,,,,,,,inf,79.38,34.35,-6.02,9.23
AVITY INVESTMENT MANAGEMENT INC.,,,,,,,,,,,,,,,,,inf,9.16,-8.29,9236.97
AVIVA PLC,,231.68,-36.12,-2.14,-0.85,51.33,-24.55,39.63,-100.0,,,,,,,,,,,
"AWM CAPITAL, LLC",,,,,,,,,inf,-100.0,,,,,,,inf,281.28,-3.62,30.57
AXIOM INTERNATIONAL INVESTORS LLC /DE,,7.94,49.85,83.1,-100.0,,,,,,,,,,,,,,,
AXIOM INVESTORS LLC /DE,,,,,inf,206.28,-60.6,6.35,-35.18,-95.38,145.15,734637.41,543.72,92.73,8.34,29.39,72.61,5.08,-18.62,10.9
"AXQ CAPITAL, LP",,,,,,,,,,,,,inf,-58.28,-100.0,inf,106.78,-4.94,-1.28,-1.85
