ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001841768-25-000001,109130632,MICROSOFT CORP COM,Stock,594918104,,5534802,13131,SH,,SOLE,,0,0,13131,microsoft corp com,"PATRON PARTNERS, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000482,109134641,MICROSOFT CORP,COM,594918104,BBG001S5TD05,15705950,36500,SH,Put,SOLE,,36500,0,0,microsoft corp,Calamos Advisors LLC,31-DEC-2024,,2024-12-31
0001085146-25-000482,109134640,MICROSOFT CORP,COM,594918104,BBG001S5TD05,258180,600,SH,Call,SOLE,,600,0,0,microsoft corp,Calamos Advisors LLC,31-DEC-2024,,2024-12-31
0001085146-25-000482,109134639,MICROSOFT CORP,COM,594918104,BBG001S5TD05,976969982,2317841,SH,,SOLE,,2310014,0,7827,microsoft corp,Calamos Advisors LLC,31-DEC-2024,,2024-12-31
0001085146-25-000483,109236266,MICROSOFT CORP,COM,594918104,BBG001S5TD05,94524838,224258,SH,,SOLE,,206230,0,18028,microsoft corp,Calamos Wealth Management LLC,31-DEC-2024,,2024-12-31
0001085146-25-000484,109223125,MICROSOFT CORP,COM,594918104,BBG001S5TD05,8606926,20420,SH,,SOLE,,20420,0,0,microsoft corp,"RBA Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001337263-25-000002,109232526,MICROSOFT CORP,COM,594918104,,8597000,20396,SH,,SOLE,0,0,0,20396,microsoft corp,First Dallas Securities Inc.,31-DEC-2024,,2024-12-31
0001085146-25-000485,109120204,MICROSOFT CORP,COM,594918104,BBG001S5TD05,228390,542,SH,,SOLE,,0,0,542,microsoft corp,"Mokosak Advisory Group, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000486,109114795,MICROSOFT CORP,COM,594918104,BBG001S5TD05,68469760,162443,SH,,SOLE,,3513,0,158930,microsoft corp,"COMPASS CAPITAL MANAGEMENT, INC",31-DEC-2024,,2024-12-31
0001085146-25-000487,109142116,MICROSOFT CORP,COM,594918104,BBG001S5TD05,5708192,13541,SH,,SOLE,,13541,0,0,microsoft corp,"Flavin Financial Services, Inc.",31-DEC-2024,,2024-12-31
0001085146-25-000488,109195590,MICROSOFT CORP,COM,594918104,BBG001S5TD05,5373808,12750,SH,,SOLE,,0,0,12750,microsoft corp,"WJ Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000489,109170810,MICROSOFT CORP,COM,594918104,BBG001S5TD05,9010920,21378,SH,,SOLE,,0,0,21378,microsoft corp,"Tempus Wealth Planning, LLC",31-DEC-2024,,2024-12-31
0001161670-25-000001,109279087,Microsoft Corp,COM,594918104,,73816472,175128,SH,,SOLE,,0,0,175128,microsoft corp,CULLINAN ASSOCIATES INC,31-DEC-2024,,2024-12-31
0001085146-25-000491,109168109,MICROSOFT CORP,COM,594918104,BBG001S5TD05,1122033,2662,SH,,SOLE,,2662,0,0,microsoft corp,"Conestoga Capital Advisors, LLC",31-DEC-2024,,2024-12-31
0001221073-25-000011,109195096,MICROSOFT CORP,COM,594918104,BBG001S5TD05,565653,1342,SH,,SOLE,,0,0,1342,microsoft corp,MARSHALL FINANCIAL GROUP INC /ADV,31-DEC-2024,,2024-12-31
0001221073-25-000013,109127205,MICROSOFT CORP,COM,594918104,BBG001S5TD05,19405469,46039,SH,,SOLE,,0,0,46039,microsoft corp,GDS Wealth Management,31-DEC-2024,,2024-12-31
0001085146-25-000492,109168939,MICROSOFT CORP,COM,594918104,BBG001S5TD05,2681697,6362,SH,,SOLE,,0,0,6362,microsoft corp,"Optas, LLC",31-DEC-2024,,2024-12-31
0001908433-25-000001,109159150,MICROSOFT CORPORATION,COM,594918104,,105539,248,SH,,SOLE,,248,0,0,microsoft corporation,Kathleen S. Wright Associates Inc.,31-DEC-2024,,2024-12-31
0001908433-25-000001,109159149,MICROSOFT CORP,COM,594918104,,186725,443,SH,,SOLE,,443,0,0,microsoft corp,Kathleen S. Wright Associates Inc.,31-DEC-2024,,2024-12-31
0000014745-25-000001,109177217,MICROSOFT CORP,COM,594918104,,12572590,29828,SH,,SOLE,,0,0,29828,microsoft corp,"BROWN, LISLE/CUMMINGS, INC.",31-DEC-2024,,2024-12-31
0001527641-25-000002,109183902,MICROSOFT CORP,COM,594918104,,38910453,92314,SH,,SOLE,,0,0,92314,microsoft corp,"MATHER GROUP, LLC.",31-DEC-2024,,2024-12-31
0001085146-25-000479,109154689,MICROSOFT CORP,COM,594918104,BBG001S5TD05,775592,1840,SH,,SOLE,,0,0,1840,microsoft corp,"Dupree Financial Group, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000477,109235825,MICROSOFT CORP,COM,594918104,BBG001S5TD05,256272,608,SH,,SOLE,,0,0,608,microsoft corp,"Cornerstone Management, Inc.",31-DEC-2024,,2024-12-31
0001951757-25-000127,109267638,MICROSOFT CORP,COM,594918104,,309381,734,SH,,SOLE,,0,0,734,microsoft corp,"McNamara Financial Services, Inc.",31-DEC-2024,,2024-12-31
0001085146-25-000476,109158485,MICROSOFT CORP,COM,594918104,BBG001S5TD05,254720,604,SH,,SOLE,,0,0,604,microsoft corp,"Archer Investment Management, LLC",31-DEC-2024,,2024-12-31
0001631507-25-000001,109130395,MICROSOFT CORP,COM,594918104,,10295920,24427,SH,,SOLE,,3069,0,21358,microsoft corp,Leisure Capital Management,31-DEC-2024,,2024-12-31
0001951757-25-000129,109176851,MICROSOFT CORP,COM,594918104,,5644847,13392,SH,,SOLE,,0,0,13392,microsoft corp,"One Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001951757-25-000130,109264371,MICROSOFT CORP,COM,594918104,,5272103,12508,SH,,SOLE,,12508,0,0,microsoft corp,"WEALTHSPAN PARTNERS, LLC",31-DEC-2024,,2024-12-31
0002053368-25-000001,109179100,MICROSOFT CORP,COM,594918104,,6289941,14891,SH,,SOLE,,0,0,14891,microsoft corp,Financial Life Planners,31-DEC-2024,,2024-12-31
0002001434-25-000003,109128540,MICROSOFT CORP,COM,594918104,,2424877,5753,SH,,SOLE,,5753,0,0,microsoft corp,Level Wealth Management LLC,31-DEC-2024,,2024-12-31
0001986152-25-000006,109122123,MICROSOFT CORP COM,Stock,594918104,,1822988,4325,SH,,SOLE,0,4325,0,0,microsoft corp com,"EQ WEALTH ADVISORS, LLC",31-DEC-2024,,2024-12-31
0001337263-25-000001,109186092,MICROSOFT CORP,COM,594918104,,26047000,61797,SH,,SOLE,0,6945,0,54852,microsoft corp,Hodges Capital Management Inc.,31-DEC-2024,,2024-12-31
0001986152-25-000007,109188234,MICROSOFT CORP,COM,594918104,,4517632,10718,SH,,SOLE,,10718,0,0,microsoft corp,"Holistic Planning, LLC",31-DEC-2024,,2024-12-31
0001099910-25-000049,109247761,MICROSOFT CORP,COM,594918104,,68409,162300,SH,,SOLE,,162300,0,0,microsoft corp,Rheos Capital Works Inc.,31-DEC-2024,,2024-12-31
0001894484-25-000003,109200989,MICROSOFT CORP,COM,594918104,,13458911,31931,SH,,SOLE,,0,0,31931,microsoft corp,"FOURPATH CAPITAL MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001986152-25-000008,109193403,MICROSOFT CORP,COM,594918104,,1207741,2865,SH,,SOLE,,2865,0,0,microsoft corp,Vantage Point Financial LLC,31-DEC-2024,,2024-12-31
0001172661-25-000351,109231675,MICROSOFT CORP,COM,594918104,,52368439,124243,SH,,SOLE,,123709,0,534,microsoft corp,"Baltimore-Washington Financial Advisors, Inc.",31-DEC-2024,,2024-12-31
0002032497-25-000001,109247242,MICROSOFT CORP,COM,594918104,,977459,2319,SH,,SOLE,,0,0,2319,microsoft corp,"GEN Financial Management, INC.",31-DEC-2024,,2024-12-31
0001172661-25-000353,109136516,MICROSOFT CORP,COM,594918104,,9949102,23604,SH,,SOLE,,23604,0,0,microsoft corp,"Alliance Wealth Advisors, LLC /UT",31-DEC-2024,,2024-12-31
0001849561-25-000001,109220301,MICROSOFT CORP,COM,594918104,,11318985,26854,SH,,SOLE,,0,0,26854,microsoft corp,"CHILDRESS CAPITAL ADVISORS, LLC",31-DEC-2024,,2024-12-31
0001062993-25-001091,109233981,MICROSOFT CORP,COM,594918104,,5551207,13170,SH,,SOLE,,0,0,13170,microsoft corp,"E&G Advisors, LP",31-DEC-2024,,2024-12-31
0001668256-25-000001,109225778,MICROSOFT CORP,COM,594918104,,7186065,17049,SH,,SOLE,,17049,0,0,microsoft corp,Matisse Capital,31-DEC-2024,,2024-12-31
0001085146-25-000469,109143855,MICROSOFT CORP,COM,594918104,BBG001S5TD05,11752801,27883,SH,,SOLE,,0,0,27883,microsoft corp,"BLODGETT WEALTH ADVISORS, LLC",31-DEC-2024,,2024-12-31
0001635633-25-000001,109163479,MICROSOFT CORP,COMMON STOCK,594918104,,20887592,49555,SH,,SOLE,,43894,0,5661,microsoft corp,TRUST POINT INC.,31-DEC-2024,,2024-12-31
0002033053-25-000003,109167183,MICROSOFT CORP,COM,594918104,,23770301,56394,SH,,SOLE,,0,0,56394,microsoft corp,"Paul R. Ried Financial Group, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000475,109191346,MICROSOFT CORP,COM,594918104,BBG001S5TD05,12476400,29600,SH,Put,SOLE,,29600,0,0,microsoft corp,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001085146-25-000475,109191345,MICROSOFT CORP,COM,594918104,BBG001S5TD05,11886300,28200,SH,Call,SOLE,,28200,0,0,microsoft corp,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001085146-25-000475,109191344,MICROSOFT CORP,COM,594918104,BBG001S5TD05,5226179,12399,SH,,SOLE,,12399,0,0,microsoft corp,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001580642-25-000421,109268582,MICROSOFT CORP,COM,594918104,,7544007,17898,SH,,SOLE,,0,0,17898,microsoft corp,"McAdam, LLC",31-DEC-2024,,2024-12-31
0001910488-25-000001,109278638,MICROSOFT CORP COM,Stock,594918104,,1720753,4082,SH,,SOLE,0,0,0,4082,microsoft corp com,Red Tortoise LLC,31-DEC-2024,,2024-12-31
0001172661-25-000335,109127639,MICROSOFT CORP,COM,594918104,,10097878,23957,SH,,SOLE,,23957,0,0,microsoft corp,"Austin Private Wealth, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000463,109260167,MICROSOFT CORP,COM,594918104,BBG001S5TD05,15960953,37867,SH,,SOLE,1,37867,0,0,microsoft corp,Waldron Private Wealth LLC,31-DEC-2024,,2024-12-31
0001085146-25-000463,109260165,MICROSOFT CORP,COM,594918104,BBG001S5TD05,1539319,3652,SH,,SOLE,2,3652,0,0,microsoft corp,Waldron Private Wealth LLC,31-DEC-2024,,2024-12-31
0001085146-25-000463,109260164,MICROSOFT CORP,COM,594918104,BBG001S5TD05,361227,857,SH,,SOLE,3,857,0,0,microsoft corp,Waldron Private Wealth LLC,31-DEC-2024,,2024-12-31
0001754960-25-000063,109127144,MICROSOFT CORP,COM,594918104,,2299176,5455,SH,,SOLE,,0,0,5455,microsoft corp,Flagstone Financial Management,31-DEC-2024,,2024-12-31
0001754960-25-000062,109130250,MICROSOFT CORP,COM,594918104,,1889327,4482,SH,,SOLE,,0,0,4482,microsoft corp,4J Wealth Management LLC,31-DEC-2024,,2024-12-31
0001563525-25-000001,109133545,MICROSOFT CORP,COM,594918104,,44620784,105099,SH,,SOLE,,14388,0,90711,microsoft corp,Chicago Partners Investment Group LLC,31-DEC-2024,,2024-12-31
0001066816-25-000001,109271243,MICROSOFT CORP,COM,594918104,,7635634,18115,SH,,SOLE,,0,0,18115,microsoft corp,EVERMAY WEALTH MANAGEMENT LLC,31-DEC-2024,,2024-12-31
0001844369-25-000001,109272463,MICROSOFT CORP,COM,594918104,,11844945,28102,SH,,SOLE,0,0,0,28102,microsoft corp,"Destiny Wealth Partners, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000452,109138579,MICROSOFT CORP,COM,594918104,BBG001S5TD05,17645890,41865,SH,,SOLE,,41865,0,0,microsoft corp,SeaBridge Investment Advisors LLC,31-DEC-2024,,2024-12-31
0001085146-25-000448,109143673,MICROSOFT CORP,COM,594918104,BBG001S5TD05,10173538,24142,SH,,SOLE,,24142,0,0,microsoft corp,"KG&L Capital Management,LLC",31-DEC-2024,,2024-12-31
0001754960-25-000060,109272753,MICROSOFT CORP,COM,594918104,,671827,1594,SH,,SOLE,,0,0,1594,microsoft corp,"Manuka Financial, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000445,109277108,MICROSOFT CORP,COM,594918104,BBG001S5TD05,594243,1410,SH,,SOLE,,1348,0,62,microsoft corp,Western Financial Corp/CA,31-DEC-2024,,2024-12-31
0001754960-25-000061,109148879,MICROSOFT CORP,COM,594918104,,1727910,4099,SH,,SOLE,,3970,0,130,microsoft corp,Hofer & Associates. Inc,31-DEC-2024,,2024-12-31
0001754960-25-000059,109153295,MICROSOFT CORP,COM,594918104,,364548,865,SH,,SOLE,,0,0,865,microsoft corp,Five Pine Wealth Management,31-DEC-2024,,2024-12-31
0001697847-25-000002,109153830,MICROSOFT CORP,COM,594918104,BBG001S5TD05,18920789,44889,SH,,SOLE,,44889,0,0,microsoft corp,"Marietta Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001730479-25-000001,109204023,Microsoft Corp,COM,594918104,,28480333,67569,SH,,SOLE,,67569,0,0,microsoft corp,Independence Bank of Kentucky,31-DEC-2024,,2024-12-31
0001765380-25-000010,109171206,MICROSOFT CORP,COM,594918104,,1428154,3388,SH,,SOLE,0,0,0,3388,microsoft corp,"Brio Consultants, LLC",31-DEC-2024,,2024-12-31
0001767080-25-000001,109170972,MICROSOFT CORP,COM,594918104,,8909,21136,SH,,SOLE,,0,0,21136,microsoft corp,Abundance Wealth Counselors,31-DEC-2024,,2024-12-31
