ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED
0001085146-25-000598,109291211,APPLE INC,COM,037833100,,1899928,11079,SH,,SOLE,,0,0,11079,"Sage Private Wealth Group, LLC",31-MAR-2024,
0001221073-25-000028,110520654,APPLE INC,COM,037833100,BBG001S5N8V8,1883708,98100,SH,,SOLE,,89312,0,8788,"Saiph Capital, LLC",31-MAR-2024,
0001376474-25-000045,108611540,APPLE INC,COM,037833100,,14273652,83238,SH,,SOLE,,83238,0,0,"Union Heritage Capital, LLC",31-MAR-2024,
0001062993-25-003132,111812501,APPLE INC,COM,037833100,,701111,4091,SH,,SOLE,,4091,0,0,Value Partners Investments Inc.,31-MAR-2024,
0001068837-25-000015,109816666,APPLE INC,COM,037833100,BBG000B9XRY4,887117147,5181469,SH,,DFND,"1,5",0,1913929,3267540,Voya Investment Management LLC,31-MAR-2024,
0001068837-25-000015,109816667,APPLE INC,COM,037833100,BBG000B9XRY4,1193653589,6960891,SH,,DFND,"1,5,3",0,266019,6694872,Voya Investment Management LLC,31-MAR-2024,
0001068837-25-000015,109816668,APPLE INC,COM,037833100,BBG000B9XRY4,17505193,102083,SH,,DFND,"2,1,5",0,102083,0,Voya Investment Management LLC,31-MAR-2024,
0001068837-25-000015,109816670,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,BBG006473QX9,8468,517,SH,,DFND,"1,5",0,517,0,Voya Investment Management LLC,31-MAR-2024,
0001068837-25-000015,109816671,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,BBG006473QX9,2435870,148710,SH,,DFND,"1,5,3",0,79442,69268,Voya Investment Management LLC,31-MAR-2024,
0001068837-24-000018,108417988,APPLE INC,COM,037833100,BBG000B9XRY4,887117147,5181469,SH,,DFND,"1,5",0,1913929,3267540,Voya Investment Management LLC,31-MAR-2024,
0001068837-24-000018,108417989,APPLE INC,COM,037833100,BBG000B9XRY4,1193653589,6960891,SH,,DFND,"1,5,3",0,266019,6694872,Voya Investment Management LLC,31-MAR-2024,
0001068837-24-000018,108417990,APPLE INC,COM,037833100,BBG000B9XRY4,17505193,102083,SH,,DFND,"2,1,5",0,102083,0,Voya Investment Management LLC,31-MAR-2024,
0001068837-24-000018,108417992,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,BBG006473QX9,8468,517,SH,,DFND,"1,5",0,517,0,Voya Investment Management LLC,31-MAR-2024,
0001068837-24-000018,108417993,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,BBG006473QX9,2435870,148710,SH,,DFND,"1,5,3",0,79442,69268,Voya Investment Management LLC,31-MAR-2024,
0002051288-25-000003,111824607,APPLE INC,COM,037833100,,6949294,39908,SH,,SOLE,,39908,0,0,WORMSER FRERES GESTION,31-MAR-2024,
0001085146-25-000758,109526806,APPLE INC,COM,037833100,,1606536,9369,SH,,SOLE,,0,0,9369,"Weinberger Asset Management, Inc",31-MAR-2024,
0001085146-25-000194,108950009,APPLE INC,COM,037833100,BBG001S5N8V8,3022925,17628,SH,,SOLE,,0,0,17628,"Westfuller Advisors, LLC",31-MAR-2024,
0002051491-25-000004,109223652,APPLE INC,COM,037833100,BBG001S5N8V8,28699303,167362,SH,,SOLE,,165637,0,1725,"Westmount Partners, LLC",31-MAR-2024,
0002047860-25-000002,108610017,APPLE INC,COM,037833100,,32980,200,SH,,SOLE,Arcadia Investment Advisors LLC,0,0,200,ARCADIA INVESTMENT ADVISORS LLC,31-MAR-2023,
0000919574-25-001290,110869992,APPLE INC,COM,037833100,,3804268,23070,SH,,SOLE,,23070,0,0,"Ategra Capital Management, LLC",31-MAR-2023,
0002053305-25-000013,110597888,APPLE INC,COM,037833100,,1158587,7026,SH,,SOLE,,0,0,7026,BIT Capital GmbH,31-MAR-2023,
0001840084-25-000008,110194771,APPLE INC,COM,037833100,,19064402,115612,SH,,SOLE,,111549,0,4063,"Brown Miller Wealth Management, LLC",31-MAR-2023,
0001214659-24-019870,108432873,APPLE INC,COM,037833100,,28364115,172008,SH,,SOLE,,172008,0,0,"CONWAY CAPITAL MANAGEMENT, INC.",31-MAR-2023,
