FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
SCHAPER BENZ & WISE INVESTMENT COUNSEL INC/WI,,18.28,1.87,12.59,13.76,18.35,4.97,5.77,-5.13,-21.19,-100.0,,,,,,,,,
SHIKIAR ASSET MANAGEMENT INC,,,,,,inf,18.57,8.03,-100.0,,,,,,inf,-100.0,,inf,-100.0,
"Scott & Selber, Inc.",,20.25,4.71,13.6,17.97,20.32,3.19,7.95,-4.39,-21.82,-1.6,85.22,-41.26,16.1,8.64,5.76,8.3,22.36,-9.4,11.31
Security National Bank,,21.95,0.57,21.88,20.28,18.22,61.8,1.01,-4.01,-21.63,-13.33,92202.15,13.94,37.46,23.21,-100.0,,,,
Selway Asset Management,,19.17,3.36,19.57,132.14,-41.91,8.01,8.18,-0.94,-100.0,,,,,,,,,,
Sigma Planning Corp,,,,,inf,28.47,-100.0,inf,-100.0,,,,,,,,,,,
"Sloy Dahl & Holst, LLC",,,,,,inf,-100.0,,,,,,,,,,,,,
Steward Financial Group LLC,,,,,,,,inf,-100.0,,,,,,,,,,,
"Strategic Asset Management, LLC",,,,,,,,,inf,333.33,0.0,-100.0,,,,,,,,
"Sugarloaf Wealth Management, LLC",,,,,,,,,,,,inf,22.27,13.39,-5.15,9.36,13.25,20.22,-85.64,17.14
Swedbank,,150.39,8.81,-100.0,,,,,,,,,,,,,,,,
Swedbank AB,,,,,,,,,,,,,,,,,inf,-100.0,,
TANAKA CAPITAL MANAGEMENT INC,,21.71,3.61,19.15,18.02,19.81,7.92,-13.72,-3.82,-100.0,,,,,,,,,,
"TILIA FIDUCIARY PARTNERS, INC.",,,,,,,,,,,inf,-100.0,inf,23.46,11.47,7.27,12.8,23.95,-7.14,17.35
"Taylor, Cottrill, Erickson & Associates, Inc.",,,,inf,17.79,-100.0,,,,,,,,,,,,,,
Tredje AP-fonden,,-34.19,35.36,-6.24,33.75,33.91,-16.81,6.92,-1.23,58.73,-52.29,114589.27,17.34,7.34,30.91,13.1,11.8,36.27,-12.14,20.12
"Unconventional Investor, LLC",,,,,,,,inf,-100.0,,,,,,,,,,,
VICUS CAPITAL,,39.35,26.54,48.83,28.41,-100.0,,inf,-3.87,-17.48,-7.04,78933.75,21.03,17.89,12.14,11.57,19.58,49.17,-6.71,14.77
"VISTA CAPITAL PARTNERS, INC.",,,,,inf,31.92,78.65,82.27,-66.89,114.85,-47.16,87082.27,157.72,16.08,-13.43,31.64,5.08,28.4,7.14,21.78
"Valeo Financial Advisors, LLC",,15.72,29.52,280.56,19.42,-60.38,116.18,-46.08,91.64,-58.23,-11.7,106666.4,42.43,10.55,13.97,6.83,127.21,-40.51,-7.37,15.46
"Versant Capital Management, Inc",,19.4,3.44,19.64,18.69,22.55,7.64,7.9,20.63,-16.23,-10.8,94041.29,17.26,-1.46,4.34,4.91,-1.35,71.5,-0.8,41.32
Vigilare Wealth Management,,,,,,inf,9.56,8.65,-12.39,-24.7,-17.35,90471.1,12.44,11.08,2.98,6.14,-0.85,20.92,-16.86,5.4
"Waterway Wealth Management, LLC",,,,,,,,,,,,,,,,,inf,-8.23,12.57,34.84
"WealthStone, Inc.",,inf,-99.8,22.34,23.94,-100.0,,,,,,,,,,,,,,
"Wellesley Investment Partners, LLC",,inf,9.09,-100.0,,,,,,,,,,,,,,,,
"Wellspring Financial Advisors, LLC",,12.94,12.07,38.95,-43.14,146.85,9.49,8.28,-4.3,-22.47,-12.24,70840.18,15.96,15.4,9.32,7.66,58.36,31.79,55.57,-27.43
"Westchester Capital Management, Inc.",,,inf,18.24,17.42,17.66,10.6,5.65,-2.68,-21.12,-12.02,92584.68,17.8,13.94,8.22,4.69,10.16,18.31,-11.17,14.36
"Westend Capital Management, LLC",,,,,,,,,,,,,,,,,inf,-99.31,-68.17,14.14
White Lighthouse investment Management Inc.,,,,,,,,inf,-100.0,,,,,,,,,,,
Willis Investment Counsel,,48.11,4.03,41.7,18.22,37.17,26.76,-5.74,-6.64,3.42,-12.74,129232.5,215.68,15.95,-17.55,-46.83,8.56,57.41,-24.86,15.14
"Wilson & Boucher Capital Management, LLC",,,,,,,,inf,-5.35,-23.83,-6.87,92340.58,11.63,16.32,8.99,6.89,6.52,18.08,-8.66,13.91
"Winfield Associates, Inc.",,18.55,2.44,14.99,13.98,5.46,9.5,6.81,-5.72,-100.0,,,,,,,,,,
"Winthrop Capital Management, LLC",,,,,,,,,,,,,,,,inf,-100.0,,,
"Your Advocates Ltd., LLP",,,,,,,,,,,,,,,,,,inf,82.45,70.95
"ZEKE CAPITAL ADVISORS, LLC",,,,,,inf,120.78,-49.62,-5.67,-19.81,-17.79,92107.18,-100.0,,,,,,,
Zebra Capital Management LLC,,-100.0,,,,,,,,,,,,,,,,,,
Zeit Capital LLC,,,,inf,-100.0,inf,76.67,9.43,-3.45,-23.21,-11.63,-100.0,,,,,,,,
