,advanced_micro,amazon,apple,microsoft,palo_alto,salesforce,meta,google,Q
South Dakota Investment Council,0.0,0.21086847458064759,0.3809451247698775,0.408186400649475,0.0,0.0,0.0,0.0,0.07290830002657335
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05082125684331133
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"State of Alaska, Department of Revenue",0.0,0.18309965339618833,0.4297045654698612,0.3871957811339504,0.0,0.0,0.0,0.0,0.07290830002657335
Sutton Wealth Advisors Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01194832859046463
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.22670883503348246,0.3595841530151434,0.4137070119513742,0.0,0.0,0.0,0.0,0.07290830002657335
THOMAS STORY & SON LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.16824258108310478,0.5175035428930501,0.31425387602384514,0.0,0.0,0.0,0.0,0.07290830002657335
TOWER BRIDGE ADVISORS,0.0,0.0,0.4429526334689421,0.5570473665310579,0.0,0.0,0.0,0.0,0.08817974820498171
TRUST CO OF OKLAHOMA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"TSFG, LLC",0.0,0.336946301532923,0.6630536984670771,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
Te Ahumairangi Investment Management Ltd,0.0,0.0,0.4272280558323327,0.5727719441676673,0.0,0.0,0.0,0.0,0.05691508016908043
Treasurer of the State of North Carolina,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Triple Frond Partners LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008097994892898799
"Ulland Investment Advisors, LLC",0.0,0.3841226890629815,0.6158773109370185,0.0,0.0,0.0,0.0,0.0,0.008333507093801576
VALICENTI ADVISORY SERVICES INC,0.0,0.31321577890359037,0.39087937530921735,0.29590484578719245,0.0,0.0,0.0,0.0,0.07290830002657335
