,advanced_micro,amazon,apple,microsoft,palo_alto,salesforce,meta,google
"TSFG, LLC",0.0,0.336946301532923,0.6630536984670771,0.0,0.0,0.0,0.0,0.0
Te Ahumairangi Investment Management Ltd,0.0,0.0,0.4272280558323327,0.5727719441676673,0.0,0.0,0.0,0.0
Treasurer of the State of North Carolina,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Triple Frond Partners LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ulland Investment Advisors, LLC",0.0,0.3841226890629815,0.6158773109370185,0.0,0.0,0.0,0.0,0.0
VALICENTI ADVISORY SERVICES INC,0.0,0.31321577890359037,0.39087937530921735,0.29590484578719245,0.0,0.0,0.0,0.0
VALLEY NATIONAL ADVISERS INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Vestcor Inc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Violich Capital Management, Inc.",0.0,0.0,0.4655219590863325,0.5344780409136676,0.0,0.0,0.0,0.0
"Vishria Bird Financial Group, LLC",0.0,0.22511036617608585,0.47783354032491654,0.29705609349899764,0.0,0.0,0.0,0.0
WADE G W & INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WEDBUSH SECURITIES INC,0.0,0.2263205196476247,0.7736794803523752,0.0,0.0,0.0,0.0,0.0
WESTWOOD MANAGEMENT CORP /IL/,0.0,0.3924815693990779,0.0,0.607518430600922,0.0,0.0,0.0,0.0
WFA Asset Management Corp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Wallington Asset Management, LLC",0.0,0.0,0.43496431997214063,0.5650356800278593,0.0,0.0,0.0,0.0
"Wayfinding Financial, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Werlinich Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesleyan Assurance Society,0.0,0.0,0.37800827888596134,0.6219917211140387,0.0,0.0,0.0,0.0
"Westbourne Investment Advisors, Inc.",0.0,0.0,0.3899010549830265,0.3761331220249692,0.0,0.0,0.23396582299200439,0.0
"Whetstone Capital Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
White Pine Investment CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZEVIN ASSET MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
