,microsoft,amazon,apple,palo_alto,salesforce,meta,advanced_micro,google,Q
STONERIDGE INVESTMENT PARTNERS LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Scott & Selber, Inc.",0.528798730069063,0.24161889142754284,0.0,0.0,0.0,0.0,0.0,0.2295823785033941,0.05852448462829596
South Dakota Investment Council,0.3464741191236785,0.21479648258623799,0.43872939829008356,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.017541911981104424
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"State of Alaska, Department of Revenue",0.36358192006449086,0.22709594701169064,0.4093221329238184,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
"Stephens Consulting, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.11563451993904006
Sutton Wealth Advisors Inc.,0.24841559562127402,0.0,0.7515844043787259,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18535158916287015
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.39310395078534427,0.22991834405561573,0.37697770515904006,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
THOMAS STORY & SON LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.2553326493252948,0.1926013180123784,0.5520660326623267,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
TOWER BRIDGE ADVISORS,0.49025219228326733,0.0,0.5097478077167327,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
TRAPHAGEN INVESTMENT ADVISORS LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
TRUST CO OF OKLAHOMA,0.38212248870600735,0.0,0.6178775112939927,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"TSFG, LLC",0.0,0.3115294487287783,0.6884705512712216,0.0,0.0,0.0,0.0,0.0,0.06751618201755533
Te Ahumairangi Investment Management Ltd,0.5924007416345979,0.0,0.4075992583654022,0.0,0.0,0.0,0.0,0.0,0.03706129739965633
Thrivent Financial for Lutherans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
Tower View Investment Management & Research LLC,0.5669323674646362,0.43306763253536373,0.0,0.0,0.0,0.0,0.0,0.0,0.04708792548537309
Treasurer of the State of North Carolina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Ulland Investment Advisors, LLC",0.0,0.4301711178922819,0.569828882107718,0.0,0.0,0.0,0.0,0.0,-0.1504930545509551
VALICENTI ADVISORY SERVICES INC,0.23891251843257025,0.3853645964527189,0.37572288511471086,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
VALLEY NATIONAL ADVISERS INC,0.3462376111387214,0.12153248490178681,0.5322299039594918,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
VAUGHAN DAVID INVESTMENTS LLC/IL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
Vestcor Inc,0.522917218412773,0.0,0.47708278158722695,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"Vigilant Capital Management, LLC",0.3314349274755093,0.3107160671175755,0.3578490054069153,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
"Violich Capital Management, Inc.",0.5178379798410382,0.0,0.48216202015896187,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"Vishria Bird Financial Group, LLC",0.27185860929698835,0.30654906866560616,0.42159232203740543,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
WADE G W & INC,0.33192631385337334,0.14313010777276253,0.5249435783738641,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
WEDBUSH SECURITIES INC,0.20400026375101318,0.203039277252654,0.592960458996333,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
WEST PACES ADVISORS INC.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
WESTWOOD MANAGEMENT CORP /IL/,0.5467875922553698,0.4532124077446303,0.0,0.0,0.0,0.0,0.0,0.0,0.04708792548537309
WFA Asset Management Corp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.11563451993904006
"Wallington Asset Management, LLC",0.44995681336223325,0.17561109841937483,0.3744320882183919,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
"Wayfinding Financial, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12316403537725562
"Werlinich Asset Management, LLC",0.5559482059069022,0.0,0.0,0.0,0.0,0.0,0.44405179409309786,0.0,0.029284496101563327
Wesleyan Assurance Society,0.6063634786883733,0.0,0.3936365213116268,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"Westbourne Investment Advisors, Inc.",0.3790912421857652,0.0,0.4801559373938129,0.0,0.0,0.140752820420422,0.0,0.0,-0.044532477858557414
"Whetstone Capital Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02797078232487598
White Pine Investment CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
ZEVIN ASSET MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02797078232487598
