,advanced_micro,microsoft,amazon,apple,palo_alto,salesforce,meta,google
PROFESSIONAL ADVISORY SERVICES INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.352238257021933,0.21133667173091453,0.4364250712471525,0.0,0.0,0.0,0.0
Pensionfund Sabic,0.0,0.4414693808326349,0.0,0.558530619167365,0.0,0.0,0.0,0.0
"Plotkin Financial Advisors, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,0.7177242708310765,0.2822757291689235,0.0,0.0,0.0,0.0,0.0
ROWLAND & CO INVESTMENT COUNSEL/ADV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reynders McVeigh Capital Management, LLC",0.0,0.3921491981213835,0.0,0.6078508018786165,0.0,0.0,0.0,0.0
"Riverview Capital Advisers, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S&CO INC,0.0,0.4132219732354187,0.0,0.5867780267645812,0.0,0.0,0.0,0.0
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.40577747605884285,0.15303790801697192,0.4411846159241853,0.0,0.0,0.0,0.0
SHIKIAR ASSET MANAGEMENT INC,0.0,0.3752072607196413,0.6247927392803588,0.0,0.0,0.0,0.0,0.0
SILVERLAKE WEALTH MANAGEMENT LLC,0.0,0.6164060413127013,0.0,0.38359395868729873,0.0,0.0,0.0,0.0
SIT INVESTMENT ASSOCIATES INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SONATA CAPITAL GROUP INC,0.0,0.3850439694192618,0.25295050662567814,0.3620055239550599,0.0,0.0,0.0,0.0
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STONERIDGE INVESTMENT PARTNERS LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Scott & Selber, Inc.",0.0,0.47707801133377153,0.24313577645418605,0.0,0.0,0.0,0.0,0.2797862122120424
South Dakota Investment Council,0.0,0.44648916716391895,0.15420172453267883,0.3993091083034022,0.0,0.0,0.0,0.0
Southland Equity Partners LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Sowa Financial Group, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"State of Alaska, Department of Revenue",0.0,0.4017607153196493,0.15311510723337873,0.445124177446972,0.0,0.0,0.0,0.0
Sutton Wealth Advisors Inc.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"TAGStone Capital, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.3962193161655049,0.24417884371859475,0.35960184011590035,0.0,0.0,0.0,0.0
THOMAS STORY & SON LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.29546248273051295,0.177383489190141,0.5271540280793461,0.0,0.0,0.0,0.0
TOWER BRIDGE ADVISORS,0.0,0.5558905664163181,0.0,0.44410943358368193,0.0,0.0,0.0,0.0
TRUST CO OF OKLAHOMA,0.0,0.38629675746283854,0.0,0.6137032425371614,0.0,0.0,0.0,0.0
"TSFG, LLC",0.0,0.0,0.368999017562766,0.6310009824372341,0.0,0.0,0.0,0.0
Te Ahumairangi Investment Management Ltd,0.0,0.5905327112912391,0.0,0.4094672887087608,0.0,0.0,0.0,0.0
Treasurer of the State of North Carolina,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Triple Frond Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Ulland Investment Advisors, LLC",0.0,0.0,0.4399589114712759,0.5600410885287241,0.0,0.0,0.0,0.0
VALICENTI ADVISORY SERVICES INC,0.0,0.27375113502773984,0.34018781698538175,0.38606104798687846,0.0,0.0,0.0,0.0
VALLEY NATIONAL ADVISERS INC,0.0,0.38264931579464706,0.0,0.6173506842053529,0.0,0.0,0.0,0.0
Vestcor Inc,0.0,0.5011715088203206,0.0,0.4988284911796794,0.0,0.0,0.0,0.0
"Vigilant Capital Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Violich Capital Management, Inc.",0.0,0.5296993006818447,0.0,0.4703006993181554,0.0,0.0,0.0,0.0
"Vishria Bird Financial Group, LLC",0.0,0.28794150577851296,0.23420019218645202,0.4778583020350351,0.0,0.0,0.0,0.0
WADE G W & INC,0.0,0.4073238658437819,0.0,0.5926761341562181,0.0,0.0,0.0,0.0
WEDBUSH SECURITIES INC,0.0,0.21871350989285865,0.18807710994934576,0.5932093801577957,0.0,0.0,0.0,0.0
WESTWOOD MANAGEMENT CORP /IL/,0.0,0.5756969619645067,0.4243030380354933,0.0,0.0,0.0,0.0,0.0
WFA Asset Management Corp,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Wallington Asset Management, LLC",0.0,0.5773417620913879,0.0,0.4226582379086121,0.0,0.0,0.0,0.0
"Wayfinding Financial, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Werlinich Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesleyan Assurance Society,0.0,0.6134121555390184,0.0,0.3865878444609815,0.0,0.0,0.0,0.0
"Westbourne Investment Advisors, Inc.",0.0,0.36851460491866495,0.0,0.41753855168999604,0.0,0.0,0.21394684339133907,0.0
"Whetstone Capital Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
White Pine Investment CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZEVIN ASSET MANAGEMENT LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
